variant,label,trading_days,total_return,cagr,annual_volatility,sharpe_zero_rf,sortino_zero_rf,calmar,max_drawdown,positive_day_rate,profit_factor_daily,best_day,worst_day,average_daily_turnover,annualized_turnover,total_cost_ratio,final_equity_multiple,average_exposure,hard_stop_count,trailing_stop_count,reentry_blocked_sessions,confirmed_reentries
A0_LEGACY,기존 연구 리플레이,772,0.5114593274559662,0.144351564940167,0.26004021109592634,0.6489575560107992,0.7222789870808565,0.6203779731291379,-0.23268325310144233,0.33031088082901555,1.1516085535160867,0.07481473564756684,-0.10670136737166883,0.07536246975205146,18.99134237751697,0.11849866901413623,1.5114593274559662,0.5629529365697211,0,0,0,0
X_CAP15_ONLY,진단: 15% 상한만,772,0.3081057794772848,0.09162916939438182,0.221302256291053,0.5077168741137961,0.5003034710137739,0.3738713269290452,-0.24508209855785912,0.34196891191709844,1.125661015931761,0.0787237481179571,-0.11762169882666383,0.0465358400743756,11.727031698742651,0.07333431501689311,1.3081057794772848,0.4688262731540137,0,0,0,0
A_CURRENT,현재 규칙 근사,772,0.161549380570831,0.0500982034434605,0.2047451592275934,0.34144100620099793,0.3514581838492416,0.215993027204772,-0.23194361453143086,0.33678756476683935,1.0803747846657121,0.08606471806711606,-0.0717467710274317,0.08568158434812279,21.59175925572694,0.1352519363709648,1.161549380570831,0.4469230779302869,33,94,0,0
F_CAP15_HARD20_BAND20,PAPER 복구: 15% 상한·20% 하드스톱·20% 밴드,772,0.3675253978935087,0.10757385558086452,0.22111617818318538,0.5734259180086622,0.5772770542128215,0.46679199790611786,-0.23045351262105396,0.34196891191709844,1.1417993980319472,0.08072480665862525,-0.11872597151344773,0.04571943686822875,11.521298090793644,0.07202522438228696,1.3675253978935087,0.46822828231040814,9,0,0,0
X_COOLDOWN5,진단: 현재+5일 재진입 금지,772,0.12343607957883762,0.03872418660113319,0.17690449670326427,0.30368663655470296,0.3098524866421192,0.18426300443610008,-0.21015714315329215,0.3225388601036269,1.070440702622017,0.04744636467483188,-0.07122525991354792,0.07056375330424661,17.782065832670146,0.11150886410778102,1.1234360795788376,0.3951148084433253,20,84,0,0
R_EXIT_RECOVERY,청산가 회복 2일 확인,772,0.15870119910789304,0.04925699789899918,0.1647883437756638,0.37461061169542287,0.3727723458158946,0.20588304256160636,-0.23924747412968705,0.3316062176165803,1.0895312564847865,0.046473275321061595,-0.06683682522977082,0.060070384897108295,15.13773699407129,0.0948984607371976,1.158701199107893,0.34268106195622616,22,68,1602,69
R_TREND_REARM,추세 재무장 3일 확인,772,0.07855967124922314,0.024993606298689075,0.15910844376831138,0.23506809663604594,0.2311021691127465,0.09237754453856341,-0.27055932719942977,0.3225388601036269,1.0565748036541338,0.046473275321061595,-0.06755434098324518,0.053396999484822245,13.456043870175206,0.08432130237622648,1.0785596712492231,0.3139067315371073,22,60,1904,58
B_EQUAL,동일 비중,772,0.1609316266587255,0.04991586896973943,0.20140968634086343,0.34289148229731015,0.35165970747661895,0.2142256662779692,-0.23300601574496183,0.3329015544041451,1.080859591773724,0.08531108993919878,-0.07087497180624491,0.08386710261712126,21.134509859514555,0.13238083105341694,1.1609316266587255,0.4461699866430863,33,94,0,0
C_CAP10,종목 상한 10%,772,0.12195825681685313,0.03827796563560515,0.14857346559137843,0.3273113198003176,0.33357261963924095,0.2287984311086143,-0.16729994803781667,0.3316062176165803,1.0769511557002744,0.05718605614526893,-0.053284174273894994,0.05496944719775125,13.852300693833316,0.08680082370751098,1.1219582568168531,0.3355947843120803,33,94,0,0
C_CAP08,종목 상한 8%,772,0.10142082928082008,0.03203540325463217,0.11985408003540424,0.32313571719222894,0.3292545733931307,0.23451991316072063,-0.1365999280098562,0.3329015544041451,1.0760564146486085,0.0455887087492325,-0.04262989435245603,0.04299617222970044,10.835035401884511,0.06790536905931961,1.10142082928082,0.2711808767394573,33,94,0,0
D_BAND20,리밸런싱 밴드 20%,772,0.16064009277922175,0.04982979796683673,0.20590769087347044,0.33943593225572344,0.35006927008490446,0.20955284737281163,-0.23779108034826868,0.33419689119170987,1.07974391046806,0.08614542366300322,-0.07168087015473924,0.08247025669065652,20.782504686045446,0.13017440804534586,1.1606400927792218,0.44822047788883557,33,94,0,0
E_VOL_RISK,변동성 조절·강화 손절,772,-0.0198986276294032,-0.006539426361226397,0.11896614529441447,0.004561733930341115,0.004480119992308511,-0.03396874345249141,-0.19251304866111463,0.31476683937823835,1.0010707227321014,0.03162056056832105,-0.055967770295862314,0.05387339231934224,13.576094864474245,0.08512997605405517,0.9801013723705968,0.2623044214987901,36,111,0,0
