Date,Open,High,Low,Close,Volume
2021-01-04,8.0,8.6,8.0,8.47,191700
2021-01-05,8.49,8.94,8.49,8.56,219900
2021-01-06,8.5,8.74,8.38,8.53,83000
2021-01-07,9.0,9.34,9.0,9.32,294500
2021-01-08,10.01,10.57,10.01,10.34,364900
2021-01-11,11.35,12.1,11.32,11.8,428100
2021-01-12,10.31,11.5,10.31,10.59,477200
2021-01-13,9.9,9.99,9.51,9.96,308100
2021-01-14,10.39,10.54,10.1,10.47,111700
2021-01-15,11.5,11.5,11.0,11.04,128700
2021-01-19,11.13,11.2,10.55,10.71,158200
2021-01-20,10.71,10.85,10.71,10.8,43300
2021-01-21,10.84,11.5,10.84,11.33,182300
2021-01-22,11.04,11.06,10.72,11.0,133400
2021-01-25,10.68,10.71,10.31,10.7,94400
2021-01-26,10.17,10.17,9.58,9.6,299400
2021-01-27,9.63,10.1,9.63,10.02,130800
2021-01-28,10.0,10.0,9.57,9.76,59200
2021-01-29,9.86,10.53,9.86,10.34,116600
2021-02-01,10.46,10.46,10.0,10.19,38500
2021-02-02,9.37,9.37,9.21,9.23,104500
2021-02-03,9.36,9.55,9.36,9.45,87700
2021-02-04,9.45,9.95,9.45,9.81,41200
2021-02-05,10.25,10.35,10.02,10.24,85000
2021-02-08,10.01,10.05,9.57,9.79,85200
2021-02-09,10.21,10.3,9.98,10.1,63700
2021-02-10,10.55,10.84,10.55,10.75,83700
2021-02-11,10.74,11.55,10.57,11.55,131500
2021-02-12,12.06,12.76,12.06,12.43,368900
2021-02-16,14.97,16.19,14.92,15.82,517500
2021-02-17,17.25,17.35,15.9,16.66,352400
2021-02-18,13.91,14.0,13.0,13.52,361100
2021-02-19,13.79,14.5,13.79,14.5,202300
2021-02-22,14.5,14.8,13.6,13.74,226700
2021-02-23,12.8,13.49,12.51,13.34,210700
2021-02-24,12.66,13.36,12.51,13.17,147700
2021-02-25,13.17,13.64,13.04,13.31,118500
2021-02-26,13.43,13.43,12.66,12.71,98400
2021-03-01,13.0,13.35,12.97,13.02,49300
2021-03-02,14.34,14.9,14.14,14.89,238000
2021-03-03,15.5,15.5,14.89,15.28,217400
2021-03-04,15.63,15.63,14.75,15.26,178100
2021-03-05,16.0,16.35,15.59,16.25,293700
2021-03-08,16.66,16.66,16.45,16.5,404500
2021-03-09,16.58,16.66,15.51,16.33,415800
2021-03-10,15.7,15.8,15.25,15.32,290900
2021-03-11,16.34,16.39,15.61,16.2,110100
2021-03-12,16.35,16.6,16.15,16.59,103500
2021-03-15,17.46,17.97,17.02,17.95,309700
2021-03-16,17.67,18.19,17.5,18.0,350100
2021-03-17,18.59,19.54,18.54,19.5,330400
2021-03-18,20.81,20.84,19.72,20.33,682100
2021-03-19,20.4,20.7,19.3,19.57,420700
2021-03-22,19.8,19.8,18.87,19.06,250500
2021-03-23,17.8,17.8,16.61,16.7,531000
2021-03-24,16.78,17.45,15.74,17.24,468000
2021-03-25,18.79,19.43,18.07,19.3,446600
2021-03-26,19.0,19.0,18.21,18.42,229400
2021-03-29,17.88,17.88,16.65,16.87,248400
2021-03-30,16.18,16.5,16.17,16.5,180100
2021-03-31,16.27,17.0,16.27,16.92,171000
2021-04-01,17.4,18.02,17.33,17.93,185500
2021-04-05,18.14,18.27,17.68,18.21,677200
2021-04-06,18.07,18.18,17.31,17.57,370300
2021-04-07,17.4,17.71,16.85,16.97,163500
2021-04-08,16.09,16.69,15.57,16.53,357600
2021-04-09,16.84,17.59,16.8,17.52,142700
2021-04-12,18.01,18.3,17.91,18.08,184600
2021-04-13,17.76,17.76,17.01,17.07,219300
2021-04-14,18.5,18.9,17.85,18.79,335000
2021-04-15,19.49,20.42,19.37,20.3,395300
2021-04-16,19.77,20.17,19.7,19.79,285800
2021-04-19,20.07,20.1,19.9,20.0,234000
2021-04-20,20.1,20.48,20.03,20.45,281900
2021-04-21,21.25,22.15,21.25,21.88,571100
2021-04-22,21.11,21.11,20.31,20.47,289300
2021-04-23,20.99,21.37,20.85,20.92,180700
2021-04-26,21.67,21.69,21.3,21.4,273600
2021-04-27,22.4,23.0,22.34,22.98,566500
2021-04-28,23.25,23.56,22.84,23.52,626000
2021-04-29,23.85,24.1,23.6,24.01,481600
2021-04-30,24.03,24.78,24.03,24.7,613000
2021-05-03,24.91,25.39,24.75,25.08,880600
2021-05-04,26.13,26.32,25.45,26.21,1040600
2021-05-05,27.22,27.5,26.2,26.67,1619100
2021-05-06,24.89,24.92,23.29,23.56,1408400
2021-05-07,25.5,26.11,25.18,25.9,641400
2021-05-10,27.5,27.74,27.05,27.59,1143200
2021-05-11,25.78,25.99,25.25,25.99,959500
2021-05-12,24.55,24.55,23.58,24.2,859100
2021-05-13,23.8,24.2,23.65,23.96,492600
2021-05-14,23.01,23.38,22.63,22.95,854300
2021-05-17,22.35,22.7,21.75,21.93,806600
2021-05-18,23.14,24.26,23.14,24.08,599800
2021-05-19,24.51,25.35,24.12,24.45,606800
2021-05-20,25.16,25.75,25.01,25.62,463400
2021-05-21,26.4,26.87,26.13,26.86,652300
2021-05-24,25.58,25.58,24.55,25.24,790100
2021-05-25,24.31,24.64,23.83,23.96,767800
2021-05-26,23.07,24.48,22.9,23.96,597100
2021-05-27,23.82,24.0,23.51,23.92,242000
2021-05-28,23.06,23.43,23.0,23.0,382900
2021-06-01,24.0,24.37,23.78,23.85,282700
2021-06-02,23.3,23.5,22.45,22.58,595400
2021-06-03,22.55,22.99,22.44,22.71,320300
2021-06-04,23.18,23.69,22.93,23.5,291700
2021-06-07,23.01,23.06,22.34,22.66,436600
2021-06-08,23.0,23.18,22.9,23.11,445700
2021-06-09,24.5,25.21,24.46,24.99,700200
2021-06-10,26.25,27.24,26.25,27.05,577200
2021-06-11,27.75,28.0,27.5,27.82,481700
2021-06-14,27.83,27.83,26.93,27.0,439200
2021-06-15,28.18,29.33,28.1,28.99,563800
2021-06-16,29.95,30.2,29.27,30.14,531700
2021-06-17,29.07,29.07,28.02,28.07,559200
2021-06-18,26.54,27.31,26.5,27.07,421000
2021-06-21,26.45,26.6,26.0,26.56,242200
2021-06-22,26.25,27.1,26.01,27.05,328300
2021-06-23,28.03,28.25,27.78,27.88,305800
2021-06-24,28.5,28.86,28.48,28.84,486200
2021-06-25,29.49,29.99,29.49,29.96,472000
2021-06-28,29.96,29.96,28.82,28.93,431800
2021-06-29,28.59,29.12,28.5,28.82,382600
2021-06-30,28.5,29.38,28.25,29.35,211500
2021-07-01,27.97,28.08,27.0,27.32,399400
2021-07-02,27.0,27.07,26.43,26.87,273800
2021-07-06,25.35,25.5,25.03,25.26,849100
