date,A0_LEGACY,X_CAP15_ONLY,A_CURRENT,X_COOLDOWN5,B_EQUAL,C_CAP10,C_CAP08,D_BAND20,E_VOL_RISK
2026-01-30,-0.0010350000000000001,-0.0008625,-0.0008625,-0.0008625,-0.0008625,-0.000575,-0.00046,-0.0008625,-0.000575
2026-02-02,-0.03636987512036951,-0.022723150129093924,-0.022723150129093924,-0.022723150129093924,-0.022723150129093924,-0.015148766752729286,-0.012119013402183427,-0.022723150129093924,-0.015148766752729286
2026-02-03,0.03124419290049646,0.02768943618405437,0.02768943618405437,0.02768943618405437,0.027431321046892377,0.018370515857233514,0.014649629125617082,0.02768943618405437,0.018370515857233514
2026-02-04,0.012435839656712397,0.014250565874872164,0.014250565874872164,0.014250565874872164,0.013580695056523684,0.010695241315676205,0.00855360940366881,0.014250565874872164,0.010695241315676205
2026-02-05,-0.0013766626937471143,-0.005859410454411343,-0.005859410454411343,-0.005859410454411343,-0.007326818077984687,-0.006000141056029976,-0.004800703442424939,-0.005859410454411343,-0.006000141056029976
2026-02-06,-0.03339021264317913,-0.024366966685448868,-0.024366966685448868,-0.024366966685448868,-0.02236301501937514,-0.01730795902264371,-0.013886099023221502,-0.024366966685448868,-0.017877093966533378
2026-02-09,0.03421474998176327,0.03225018591051183,0.03225018591051183,0.03225018591051183,0.029642057982802353,0.022928465449575997,0.01831511512250009,0.03225018591051183,0.014630079051009642
2026-02-10,0.0062851287991791014,0.00960682796201042,0.00960682796201042,0.00960682796201042,0.01136210247725509,0.008693435146394883,0.006977987655268628,0.009662867808622293,0.00905677307355013
2026-02-11,0.008793288687186353,0.007875718882029757,0.007875718882029757,0.007875718882029757,0.008651652957314328,0.006839802234143762,0.005506099325454384,0.007617965020714504,0.004145119295603824
2026-02-12,0.013576528935612724,0.012130966925735972,0.012130966925735972,0.012130966925735972,0.012293173207973447,0.00977843149354239,0.007862432041734013,0.012338713796551394,0.005654896759967889
2026-02-13,-0.016277579899996047,-0.014149909715974168,-0.014149909715974168,-0.014149909715974168,-0.0130448186112076,-0.010236678178721426,-0.00825351437211973,-0.014504387867155013,-0.005342544765772223
2026-02-19,0.02851703341218115,0.02695711011050569,0.02695711011050569,0.02695711011050569,0.028781830689714377,0.022654848059200615,0.018223063919311746,0.02747797846885788,0.016572427168250813
