date,A0_LEGACY,X_CAP15_ONLY,A_CURRENT,X_COOLDOWN5,B_EQUAL,C_CAP10,C_CAP08,D_BAND20,E_VOL_RISK
2026-01-30,0.0010350000000000001,0.0008625,0.0008625,0.0008625,0.0008625,0.000575,0.00046,0.0008625,0.000575
2026-02-02,0.0010053109375178855,0.0001725,0.0001725,0.0001725,0.0001725,0.000115,9.2e-05,0.0001725,0.000115
2026-02-03,0.00012813994482473222,0.00026049659525806743,0.00026049659525806743,0.00026049659525806743,0.0005186117324200602,0.000115,9.2e-05,0.00026049659525806743,0.000115
2026-02-04,4.163883629214677e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-06,4.0976738305602204e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005691349438896659
2026-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-10,0.0,5.603984661187401e-05,5.603984661187401e-05,5.603984661187401e-05,5.112943412057284e-05,4.003785414112447e-05,3.318607308701094e-05,0.0,0.0
2026-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-19,0.0003029297190704039,0.00044723226267430195,0.00044723226267430195,0.00044723226267430195,0.00037522484726338213,0.000115,9.2e-05,0.0005017029600154285,0.00034500000000000004
2026-02-20,5.892988537921706e-05,0.0,0.0,0.0,4.2585384966859666e-05,0.0,0.0,0.0,0.0
2026-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-24,2.7654386546568727e-05,3.545584960066732e-05,3.545584960066732e-05,3.545584960066732e-05,3.778673298376968e-05,3.53376332781061e-05,3.0118082012275828e-05,0.0,0.0
2026-02-25,0.0,0.0,0.0,0.0,0.0,2.9582549884865624e-05,2.867033252284777e-05,0.0,0.0
2026-02-26,4.827895472896156e-05,3.3274051852701325e-05,3.3274051852701325e-05,3.3274051852701325e-05,6.0649140930949834e-05,0.0,0.0,0.0,0.0
2026-02-27,0.0013330211025578292,0.0012440328018332157,0.0012440328018332157,0.0012440328018332157,0.0009113325142376455,0.0007973830424184921,0.0006665608928479958,0.0011892891691355576,0.001432852881669846
