company_name,company_name_wics,stock_code,corp_code,fiscal_year,wics_large_code,wics_large,wics_index_code,wics_index_name,wics_date,revenue,revenue_prev,operating_income,net_income,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,operating_cash_flow,investing_cash_flow,financing_cash_flow,revenue_growth_yoy,operating_margin,roe,debt_ratio,current_ratio,ocf_to_revenue
KG이니시스,KG이니시스,035600,00264547,2021,G45,IT,G4510,WICS 소프트웨어와서비스,2026-03-27,1011974554186.0,,106647236661.0,62089717150.0,1430089154289.0,916916340731.0,513172813558.0,623076765325.0,620552027517.0,134932801578.0,-27266726767.0,-41037918226.0,,0.10538529473874333,0.1209918286970642,1.7867593849598347,1.004068535265451,0.13333616049914973
KH바텍,KH바텍,060720,00378628,2021,G45,IT,G4520,WICS 기술하드웨어와장비,2026-03-27,339842788109.0,,26919687491.0,33108323624.0,381851259789.0,165261250770.0,216590009019.0,200351294632.0,118180640931.0,75374210680.0,-32997512524.0,4871584310.0,,0.07921217819801393,0.15286173066780576,0.7630141921989704,1.6952970728004046,0.22179140860810245
KX하이텍,KX하이텍,052900,00276834,2021,G45,IT,G4530,WICS 반도체와반도체장비,2026-03-27,104897371301.0,,8653494675.0,4924945273.0,180492274501.0,76241691871.0,104250582630.0,64923285182.0,60508696838.0,10949569904.0,-33678529399.0,33610747026.0,,0.08249486681767311,0.0472414172540342,0.7313310865762017,1.0729579147245425,0.10438364439639315
LB세미콘,LB세미콘,061970,00412348,2021,G45,IT,G4530,WICS 반도체와반도체장비,2026-03-27,496236973449.0,,44225236880.0,38312183476.0,700319378510.0,364873717668.0,335445660842.0,229529809278.0,215830594424.0,109877018687.0,-208081739384.0,112329250909.0,,0.08912120467892783,0.11421278599887932,1.0877282381657072,1.0634720711887946,0.22142045951014258
LG디스플레이,LG디스플레이,034220,00105873,2021,G45,IT,G4540,WICS 디스플레이,2026-03-27,29878043000000.0,,2230608000000.0,1333544000000.0,38154515000000.0,23392014000000.0,14762501000000.0,13187067000000.0,13994817000000.0,5753446000000.0,-4263080000000.0,-2466136000000.0,,0.07465709852549579,0.09033320302569328,1.5845563024856018,0.9422822034757582,0.19256435235734817
LG씨엔에스,LG씨엔에스,064400,00139834,2021,G45,IT,G4510,WICS 소프트웨어와서비스,2026-03-27,,,,,,,,,,,,,,,,,,
LG에너지솔루션,LG에너지솔루션,373220,01515323,2021,G45,IT,G4535,WICS 전자와 전기제품,2026-03-27,17851906000000.0,,768470000000.0,929868000000.0,23764137000000.0,15021764000000.0,8742373000000.0,9535827000000.0,9474017000000.0,978585000000.0,-2178121000000.0,882835000000.0,,0.04304694411902012,0.10636334093729471,1.718270771562824,1.0065241597096564,0.054816835804535384
LG이노텍,LG이노텍,011070,00105961,2021,G45,IT,G4520,WICS 기술하드웨어와장비,2026-03-27,14945609219058.0,,1264223240881.0,888282436433.0,7741352841297.0,4427146647365.0,3314206193932.0,4113364037891.0,3310267874012.0,1177629168876.0,-1008293110517.0,-309627951601.0,,0.08458827086612948,0.2680226830965924,1.3358090560179054,1.2426076059233413,0.07879432357794675
LG전자,LG전자,066570,00401731,2021,G45,IT,G4535,WICS 전자와 전기제품,2026-03-27,74721629000000.0,,3863774000000.0,1414972000000.0,53481478000000.0,33383445000000.0,20098033000000.0,27487763000000.0,23619899000000.0,2677382000000.0,-2465536000000.0,-282268000000.0,,0.05170891014702048,0.07040350665162108,1.661030460045518,1.163754468213433,0.03583141903932528
LK삼양,LK삼양,225190,00992543,2021,G45,IT,G4520,WICS 기술하드웨어와장비,2026-03-27,57676416445.0,,12236547581.0,10615858400.0,52626027383.0,15253862257.0,37372165126.0,31696069485.0,9020216768.0,14101737917.0,-3100379690.0,-8295984425.0,,0.2121585967926548,0.284057890791414,0.40816105263293434,3.513892215699799,0.24449747030395622
