date,method,ticker,prev_weight,target_weight,delta_weight,fa_score
2026-01-30,equal,000880,0.0,0.18000000000000002,0.18000000000000002,77.093
2026-01-30,equal,012330,0.0,0.18000000000000002,0.18000000000000002,61.323
2026-01-30,equal,078930,0.0,0.18000000000000002,0.18000000000000002,67.0411
2026-01-30,equal,086280,0.0,0.18000000000000002,0.18000000000000002,57.8816
2026-01-30,equal,161390,0.0,0.18000000000000002,0.18000000000000002,62.6828
2026-01-30,fa_direct,000880,0.0,0.2128193999475495,0.2128193999475495,77.093
2026-01-30,fa_direct,012330,0.0,0.16928546123491858,0.16928546123491858,61.323
2026-01-30,fa_direct,078930,0.0,0.18507058583559674,0.18507058583559674,67.0411
2026-01-30,fa_direct,086280,0.0,0.1597852902339263,0.1597852902339263,57.8816
2026-01-30,fa_direct,161390,0.0,0.17303926274800896,0.17303926274800896,62.6828
2026-01-30,fa_excess,000880,0.0,0.3207474201377242,0.3207474201377242,77.093
2026-01-30,fa_excess,012330,0.0,0.13405023578855982,0.13405023578855982,61.323
2026-01-30,fa_excess,078930,0.0,0.2017454272804404,0.2017454272804404,67.0411
2026-01-30,fa_excess,086280,0.0,0.09330834040370158,0.09330834040370158,57.8816
2026-01-30,fa_excess,161390,0.0,0.15014857638957402,0.15014857638957402,62.6828
2026-02-02,equal,000880,0.17515018163528986,0.15,-0.02515018163528987,77.093
2026-02-02,equal,012330,0.17964988192969555,0.15,-0.02964988192969556,61.323
2026-02-02,equal,078930,0.17342668330242378,0.15,-0.023426683302423784,67.0411
2026-02-02,equal,086280,0.18806437309961627,0.15,-0.03806437309961627,57.8816
2026-02-02,equal,161390,0.18092753669693143,0.15,-0.030927536696931435,62.6828
2026-02-02,equal,278470,0.0,0.15,0.15,78.8897
2026-02-02,fa_direct,000880,0.20749826184429937,0.17135534902467506,-0.03614291281962431,77.093
2026-02-02,fa_direct,012330,0.1692930985798734,0.13630321907618265,-0.032989879503690756,61.323
2026-02-02,fa_direct,078930,0.178667670462918,0.14901289467912965,-0.029654775783788362,67.0411
2026-02-02,fa_direct,086280,0.16727690451738336,0.12865398635552683,-0.038622918161856534,57.8816
2026-02-02,fa_direct,161390,0.17427776556967145,0.1393256595520203,-0.03495210601765114,62.6828
2026-02-02,fa_direct,278470,0.0,0.17534889131246556,0.17534889131246556,78.8897
2026-02-02,fa_excess,000880,0.31479205131143245,0.23242227712579783,-0.08236977418563463,77.093
2026-02-02,fa_excess,012330,0.13494118263578495,0.09713643538535446,-0.03780474725043048,61.323
2026-02-02,fa_excess,078930,0.1960512483866984,0.1461902065747032,-0.049861041811995216,67.0411
2026-02-02,fa_excess,086280,0.0983279510337222,0.06761375334568662,-0.030714197688035585,57.8816
2026-02-02,fa_excess,161390,0.15222145994897085,0.10880172946263125,-0.0434197304863396,62.6828
2026-02-02,fa_excess,278470,0.0,0.2478355981058267,0.2478355981058267,78.8897
2026-02-03,equal,000880,0.15806851166081148,0.12857142857142856,-0.029497083089382925,77.093
2026-02-03,equal,011200,0.0,0.12857142857142856,0.12857142857142856,56.0072
2026-02-03,equal,012330,0.1486695756265795,0.12857142857142856,-0.02009814705515095,61.323
2026-02-03,equal,078930,0.15420486130485075,0.12857142857142856,-0.025633432733422196,67.0411
2026-02-03,equal,086280,0.14819777987638297,0.12857142857142856,-0.01962635130495441,57.8816
2026-02-03,equal,161390,0.1488793472438855,0.12857142857142856,-0.02030791867245693,62.6828
2026-02-03,equal,278470,0.1447621795738708,0.12857142857142856,-0.016190751002442244,78.8897
2026-02-03,fa_direct,000880,0.18044741152131463,0.15053358685615503,-0.0299138246651596,77.093
2026-02-03,fa_direct,011200,0.0,0.10936096280816736,0.10936096280816736,56.0072
2026-02-03,fa_direct,012330,0.13500064424823338,0.11974071766282277,-0.015259926585410616,61.323
2026-02-03,fa_direct,078930,0.15308390882449616,0.13090601286475004,-0.02217789595974612,67.0411
2026-02-03,fa_direct,086280,0.1270201354745063,0.11302095989224992,-0.013999175582256385,57.8816
2026-02-03,fa_direct,161390,0.13818890967079608,0.1223958948048071,-0.015793014865988983,62.6828
2026-02-03,fa_excess,000880,0.24427039678106802,0.21983458109745543,-0.024435815683612583,77.093
2026-02-03,fa_excess,011200,0.0,0.048742859615717476,0.048742859615717476,56.0072
2026-02-04,fa_excess,078930,0.15238758998334903,0.13827273022329928,-0.014114859760049753,67.0411
2026-02-05,fa_direct,278470,0.17154346031616743,0.1540418651110479,-0.01750159520511954,78.8897
2026-02-06,fa_excess,161390,0.11679958542152627,0.10290916565691535,-0.013890419764610917,62.6828
2026-02-10,equal,161390,0.14590344013772444,0.12857142857142856,-0.01733201156629588,62.6828
2026-02-10,fa_direct,161390,0.1390741776055905,0.1223958948048071,-0.016678282800783387,62.6828
2026-02-19,equal,011200,0.1366754568224402,0.1125,-0.024175456822440197,56.0072
2026-02-19,equal,078930,0.13008424363558793,0.1125,-0.01758424363558793,67.0411
2026-02-19,equal,086280,0.12707204719205767,0.1125,-0.014572047192057666,57.8816
2026-02-19,equal,096770,0.0,0.1125,0.1125,61.7292
2026-02-19,equal,161390,0.1249796216263894,0.1125,-0.012479621626389395,62.6828
2026-02-19,equal,278470,0.12702756199924758,0.1125,-0.014527561999247582,78.8897
2026-02-19,fa_direct,011200,0.1164841755780759,0.09644448764329923,-0.020039687934776673,56.0072
2026-02-19,fa_direct,078930,0.13270838453162667,0.11544488102499659,-0.017263503506630085,67.0411
2026-02-19,fa_direct,086280,0.11192396556499197,0.09967220743001594,-0.012251758134976032,57.8816
2026-02-19,fa_direct,096770,0.0,0.1062977807608798,0.1062977807608798,61.7292
