,variant,annualized_alpha_vs_current,tracking_error_vs_current,information_ratio_vs_current,bootstrap_alpha_ci_low,bootstrap_alpha_ci_high
0,A0_LEGACY,0.5956381294943709,0.21339971669188615,2.7911851933448144,0.04255929964915964,1.584977745880095
1,X_CAP15_ONLY,0.15907201375259222,0.1296027490936944,1.227381478132022,-0.08551075093030489,0.4261810816850808
2,A_CURRENT,0.0,0.0,0.0,0.0,0.0
3,X_COOLDOWN5,-0.23570036033848646,0.19850406993717226,-1.1873830114067034,-1.1879205276656235,0.36157019131967205
4,R_EXIT_RECOVERY,0.02405527932955579,0.20468948550951674,0.11752083537499232,-0.7283592387446559,0.6092037400870427
5,R_TREND_REARM,0.06383224450932466,0.22071464489917145,0.28920710965276,-0.7661578702172241,0.6651676320896904
6,B_EQUAL,-0.005522254902871088,0.15103453599402764,-0.03656286204030484,-0.3683540543221311,0.276460323447314
7,C_CAP10,0.021923683522400116,0.13806010825851558,0.1587981046729902,-0.5317402141519841,0.4601839493894539
8,C_CAP08,-0.07274504700453807,0.1809151831387489,-0.4020947592261942,-0.5150012337884006,0.29670409188260766
9,D_BAND20,0.12791682644270008,0.13194182425519155,0.9694941476274678,-0.06767235794881374,0.447118244793874
10,E_VOL_RISK,-0.14509593457550712,0.22024102630245423,-0.6588052054218486,-0.6488072866803062,0.22050391455509374
