,date,variant,ticker,previous_weight,target_weight,delta_weight,requested_delta_weight,execution_fill_fraction,execution_model,price,reason
0,2026-01-30,A0_LEGACY,000880,0.0,0.3207474201377242,0.3207474201377242,0.3207474201377242,1.0,STABILIZED_POSTERIOR_MEAN,113370.40625,ENTRY
1,2026-01-30,A0_LEGACY,078930,0.0,0.2017454272804404,0.2017454272804404,0.2017454272804404,1.0,STABILIZED_POSTERIOR_MEAN,65888.265625,ENTRY
2,2026-01-30,A0_LEGACY,161390,0.0,0.15014857638957402,0.15014857638957402,0.15014857638957402,1.0,STABILIZED_POSTERIOR_MEAN,61857.757813,ENTRY
3,2026-01-30,X_CAP15_ONLY,086280,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,235936.9375,ENTRY
4,2026-01-30,X_CAP15_ONLY,161390,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,61857.757813,ENTRY
5,2026-01-30,A_CURRENT,000880,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,113370.40625,ENTRY
6,2026-01-30,A_CURRENT,012330,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,443779.0625,ENTRY
7,2026-01-30,A_CURRENT,078930,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,65888.265625,ENTRY
8,2026-01-30,X_COOLDOWN5,000880,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,113370.40625,ENTRY
9,2026-01-30,X_COOLDOWN5,012330,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,443779.0625,ENTRY
10,2026-01-30,X_COOLDOWN5,078930,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,65888.265625,ENTRY
11,2026-01-30,X_COOLDOWN5,086280,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,235936.9375,ENTRY
12,2026-01-30,X_COOLDOWN5,161390,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,61857.757813,ENTRY
13,2026-01-30,R_EXIT_RECOVERY,012330,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,443779.0625,ENTRY
14,2026-01-30,R_EXIT_RECOVERY,086280,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,235936.9375,ENTRY
15,2026-01-30,R_EXIT_RECOVERY,161390,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,61857.757813,ENTRY
16,2026-01-30,R_TREND_REARM,000880,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,113370.40625,ENTRY
17,2026-01-30,R_TREND_REARM,012330,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,443779.0625,ENTRY
18,2026-01-30,R_TREND_REARM,086280,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,235936.9375,ENTRY
19,2026-01-30,B_EQUAL,000880,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,113370.40625,ENTRY
20,2026-01-30,B_EQUAL,012330,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,443779.0625,ENTRY
21,2026-01-30,B_EQUAL,086280,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,235936.9375,ENTRY
22,2026-01-30,B_EQUAL,161390,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,61857.757813,ENTRY
23,2026-01-30,C_CAP10,012330,0.0,0.1,0.1,0.1,1.0,STABILIZED_POSTERIOR_MEAN,443779.0625,ENTRY
24,2026-01-30,C_CAP10,161390,0.0,0.1,0.1,0.1,1.0,STABILIZED_POSTERIOR_MEAN,61857.757813,ENTRY
25,2026-01-30,C_CAP08,078930,0.0,0.08,0.08,0.08,1.0,STABILIZED_POSTERIOR_MEAN,65888.265625,ENTRY
26,2026-01-30,C_CAP08,086280,0.0,0.08,0.08,0.08,1.0,STABILIZED_POSTERIOR_MEAN,235936.9375,ENTRY
27,2026-01-30,D_BAND20,012330,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,443779.0625,ENTRY
28,2026-01-30,D_BAND20,078930,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,65888.265625,ENTRY
29,2026-01-30,D_BAND20,086280,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,235936.9375,ENTRY
30,2026-01-30,D_BAND20,161390,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,61857.757813,ENTRY
31,2026-01-30,E_VOL_RISK,012330,0.0,0.1,0.1,0.1,1.0,STABILIZED_POSTERIOR_MEAN,443779.0625,ENTRY
32,2026-01-30,E_VOL_RISK,161390,0.0,0.1,0.1,0.1,1.0,STABILIZED_POSTERIOR_MEAN,61857.757813,ENTRY
33,2026-02-02,A0_LEGACY,000880,0.3140306367772979,0.23242227712579783,-0.0816083596515001,-0.0816083596515001,1.0,STABILIZED_POSTERIOR_MEAN,107330.585938,REBALANCE
34,2026-02-02,A0_LEGACY,012330,0.0,0.09713643538535446,0.09713643538535446,0.09713643538535446,1.0,STABILIZED_POSTERIOR_MEAN,430930.21875,ENTRY
35,2026-02-02,A0_LEGACY,078930,0.19557704241696394,0.1461902065747032,-0.04938683584226075,-0.04938683584226075,1.0,STABILIZED_POSTERIOR_MEAN,61764.253906,REBALANCE
36,2026-02-02,A0_LEGACY,086280,0.0,0.06761375334568662,0.06761375334568662,0.06761375334568662,1.0,STABILIZED_POSTERIOR_MEAN,239836.71875,ENTRY
37,2026-02-02,A0_LEGACY,161390,0.15185326884779957,0.10880172946263125,-0.043051539385168314,-0.043051539385168314,1.0,STABILIZED_POSTERIOR_MEAN,60493.964844,REBALANCE
38,2026-02-02,A0_LEGACY,278470,0.0,0.2478355981058267,0.2478355981058267,0.2478355981058267,1.0,STABILIZED_POSTERIOR_MEAN,272743.125,ENTRY
39,2026-02-02,X_CAP15_ONLY,000880,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,107330.585938,ENTRY
40,2026-02-02,A_CURRENT,161390,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,60493.964844,ENTRY
41,2026-02-02,A_CURRENT,278470,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,272743.125,ENTRY
42,2026-02-02,X_COOLDOWN5,278470,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,272743.125,ENTRY
43,2026-02-02,R_EXIT_RECOVERY,000880,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,107330.585938,ENTRY
44,2026-02-02,R_TREND_REARM,078930,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,61764.253906,ENTRY
45,2026-02-02,R_TREND_REARM,278470,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,272743.125,ENTRY
46,2026-02-02,B_EQUAL,078930,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,61764.253906,ENTRY
47,2026-02-02,B_EQUAL,278470,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,272743.125,ENTRY
48,2026-02-02,C_CAP10,000880,0.0,0.1,0.1,0.1,1.0,STABILIZED_POSTERIOR_MEAN,107330.585938,ENTRY
49,2026-02-02,C_CAP10,086280,0.0,0.1,0.1,0.1,1.0,STABILIZED_POSTERIOR_MEAN,239836.71875,ENTRY
50,2026-02-02,C_CAP10,278470,0.0,0.1,0.1,0.1,1.0,STABILIZED_POSTERIOR_MEAN,272743.125,ENTRY
51,2026-02-02,C_CAP08,012330,0.0,0.08,0.08,0.08,1.0,STABILIZED_POSTERIOR_MEAN,430930.21875,ENTRY
52,2026-02-02,C_CAP08,161390,0.0,0.08,0.08,0.08,1.0,STABILIZED_POSTERIOR_MEAN,60493.964844,ENTRY
53,2026-02-02,D_BAND20,000880,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,107330.585938,ENTRY
54,2026-02-02,D_BAND20,278470,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,272743.125,ENTRY
55,2026-02-02,E_VOL_RISK,000880,0.0,0.1,0.1,0.1,1.0,STABILIZED_POSTERIOR_MEAN,107330.585938,ENTRY
56,2026-02-02,E_VOL_RISK,078930,0.0,0.1,0.1,0.1,1.0,STABILIZED_POSTERIOR_MEAN,61764.253906,ENTRY
57,2026-02-02,E_VOL_RISK,278470,0.0,0.1,0.1,0.1,1.0,STABILIZED_POSTERIOR_MEAN,272743.125,ENTRY
58,2026-02-03,A0_LEGACY,000880,0.24427039678106802,0.21983458109745543,-0.024435815683612583,-0.024435815683612583,1.0,STABILIZED_POSTERIOR_MEAN,116340.804688,REBALANCE
59,2026-02-03,A0_LEGACY,011200,0.0,0.048742859615717476,0.048742859615717476,0.048742859615717476,1.0,STABILIZED_POSTERIOR_MEAN,19500.0,ENTRY
60,2026-02-03,X_CAP15_ONLY,012330,0.0,0.1347345290697213,0.1347345290697213,0.1347345290697213,1.0,STABILIZED_POSTERIOR_MEAN,439331.40625,ENTRY
61,2026-02-03,X_CAP15_ONLY,078930,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,65312.824219,ENTRY
62,2026-02-03,X_CAP15_ONLY,086280,0.15232283815018186,0.09378465639105496,-0.058538181759126895,-0.058538181759126895,1.0,STABILIZED_POSTERIOR_MEAN,243736.5,REBALANCE
63,2026-02-03,A_CURRENT,011200,0.0,0.07148081453922366,0.07148081453922366,0.07148081453922366,1.0,STABILIZED_POSTERIOR_MEAN,19500.0,ENTRY
64,2026-02-03,A_CURRENT,086280,0.0,0.09378465639105496,0.09378465639105496,0.09378465639105496,1.0,STABILIZED_POSTERIOR_MEAN,243736.5,ENTRY
65,2026-02-03,R_EXIT_RECOVERY,078930,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,65312.824219,ENTRY
66,2026-02-03,R_EXIT_RECOVERY,278470,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,270752.28125,ENTRY
67,2026-02-03,R_TREND_REARM,086280,0.15269355031326579,0.09378465639105496,-0.058908893922210825,-0.058908893922210825,1.0,STABILIZED_POSTERIOR_MEAN,243736.5,REBALANCE
68,2026-02-03,B_EQUAL,000880,0.1517190701692035,0.12857142857142856,-0.023147641597774937,-0.023147641597774937,1.0,STABILIZED_POSTERIOR_MEAN,116340.804688,REBALANCE
69,2026-02-03,B_EQUAL,011200,0.0,0.12857142857142856,0.12857142857142856,0.12857142857142856,1.0,STABILIZED_POSTERIOR_MEAN,19500.0,ENTRY
70,2026-02-03,B_EQUAL,012330,0.14636365768835932,0.12857142857142856,-0.017792229116930763,-0.017792229116930763,1.0,STABILIZED_POSTERIOR_MEAN,439331.40625,REBALANCE
71,2026-02-03,B_EQUAL,086280,0.15273284604129925,0.12857142857142856,-0.02416141746987069,-0.02416141746987069,1.0,STABILIZED_POSTERIOR_MEAN,243736.5,REBALANCE
72,2026-02-03,B_EQUAL,278470,0.14483448784102396,0.12857142857142856,-0.016263059269595398,-0.016263059269595398,1.0,STABILIZED_POSTERIOR_MEAN,270752.28125,REBALANCE
73,2026-02-03,C_CAP10,078930,0.0,0.1,0.1,0.1,1.0,STABILIZED_POSTERIOR_MEAN,65312.824219,ENTRY
74,2026-02-03,C_CAP08,000880,0.0,0.08,0.08,0.08,1.0,STABILIZED_POSTERIOR_MEAN,116340.804688,ENTRY
75,2026-02-03,C_CAP08,011200,0.0,0.08,0.08,0.08,1.0,STABILIZED_POSTERIOR_MEAN,19500.0,ENTRY
76,2026-02-03,C_CAP08,278470,0.0,0.08,0.08,0.08,1.0,STABILIZED_POSTERIOR_MEAN,270752.28125,ENTRY
77,2026-02-03,D_BAND20,086280,0.15293397696435587,0.09378465639105496,-0.05914932057330091,-0.05914932057330091,1.0,STABILIZED_POSTERIOR_MEAN,243736.5,REBALANCE
78,2026-02-04,A0_LEGACY,078930,0.15238758998334903,0.13827273022329928,-0.014114859760049753,-0.014114859760049753,1.0,STABILIZED_POSTERIOR_MEAN,67230.96875,REBALANCE
79,2026-02-04,X_CAP15_ONLY,011200,0.0,0.07148081453922366,0.07148081453922366,0.07148081453922366,1.0,STABILIZED_POSTERIOR_MEAN,19888.060547,ENTRY
80,2026-02-04,X_COOLDOWN5,011200,0.0,0.07148081453922366,0.07148081453922366,0.07148081453922366,1.0,STABILIZED_POSTERIOR_MEAN,19888.060547,ENTRY
81,2026-02-04,R_TREND_REARM,011200,0.0,0.07148081453922366,0.07148081453922366,0.07148081453922366,1.0,STABILIZED_POSTERIOR_MEAN,19888.060547,ENTRY
82,2026-02-04,R_TREND_REARM,161390,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,63416.378906,ENTRY
83,2026-02-04,B_EQUAL,078930,0.15648962673674505,0.12857142857142856,-0.027918198165316488,-0.027918198165316488,1.0,STABILIZED_POSTERIOR_MEAN,67230.96875,REBALANCE
84,2026-02-04,C_CAP10,000880,0.1109051990919205,0.1,-0.01090519909192049,-0.01090519909192049,1.0,STABILIZED_POSTERIOR_MEAN,121687.53125,REBALANCE
85,2026-02-04,C_CAP10,011200,0.0,0.1,0.1,0.1,1.0,STABILIZED_POSTERIOR_MEAN,19888.060547,ENTRY
86,2026-02-04,D_BAND20,011200,0.0,0.07148081453922366,0.07148081453922366,0.07148081453922366,1.0,STABILIZED_POSTERIOR_MEAN,19888.060547,ENTRY
87,2026-02-04,E_VOL_RISK,011200,0.0,0.1,0.1,0.1,1.0,STABILIZED_POSTERIOR_MEAN,19888.060547,ENTRY
88,2026-02-05,B_EQUAL,161390,0.15384889997437004,0.12857142857142856,-0.02527747140294148,-0.02527747140294148,1.0,STABILIZED_POSTERIOR_MEAN,64877.585938,REBALANCE
89,2026-02-05,E_VOL_RISK,086280,0.0,0.1,0.1,0.1,1.0,STABILIZED_POSTERIOR_MEAN,234961.984375,ENTRY
90,2026-02-06,X_COOLDOWN5,086280,0.15020127192451227,0.09378465639105496,-0.05641661553345731,-0.05641661553345731,1.0,STABILIZED_POSTERIOR_MEAN,232524.625,REBALANCE
91,2026-02-06,R_EXIT_RECOVERY,011200,0.0,0.07148081453922366,0.07148081453922366,0.07148081453922366,1.0,STABILIZED_POSTERIOR_MEAN,19500.0,ENTRY
92,2026-02-06,R_EXIT_RECOVERY,086280,0.14843658683323127,0.09378465639105496,-0.05465193044217631,-0.05465193044217631,1.0,STABILIZED_POSTERIOR_MEAN,232524.625,REBALANCE
93,2026-02-06,E_VOL_RISK,000880,0.1038119057353944,0.0,-0.1038119057353944,-0.1038119057353944,1.0,STABILIZED_POSTERIOR_MEAN,112083.226563,TRAILING_STOP
94,2026-02-09,A0_LEGACY,161390,0.11724413374487007,0.10290916565691535,-0.014334968087954716,-0.014334968087954716,1.0,STABILIZED_POSTERIOR_MEAN,67994.828125,REBALANCE
95,2026-02-09,X_CAP15_ONLY,278470,0.0,0.15,0.15,0.15,1.0,STABILIZED_POSTERIOR_MEAN,264779.8125,ENTRY
96,2026-02-10,X_CAP15_ONLY,161390,0.16659401975673407,0.15,-0.01659401975673408,-0.01659401975673408,1.0,STABILIZED_POSTERIOR_MEAN,71793.960938,REBALANCE
97,2026-02-10,A_CURRENT,161390,0.16932286366173196,0.15,-0.01932286366173197,-0.01932286366173197,1.0,STABILIZED_POSTERIOR_MEAN,71793.960938,REBALANCE
98,2026-02-10,R_EXIT_RECOVERY,161390,0.1676598708743652,0.15,-0.017659870874365213,-0.017659870874365213,1.0,STABILIZED_POSTERIOR_MEAN,71793.960938,REBALANCE
99,2026-02-10,C_CAP10,161390,0.11316967797488038,0.1,-0.013169677974880376,-0.013169677974880376,1.0,STABILIZED_POSTERIOR_MEAN,71793.960938,REBALANCE
