Date,Close,High,Low,Open,Volume,Daily Return,MA20,MA60
2021-03-29,3054.6298828125,3085.6298828125,3021.97998046875,3077.14990234375,0,,,
2021-03-30,3044.550048828125,3055.75,3013.27001953125,3034.800048828125,0,-0.3299854440988459,,
2021-03-31,3124.93994140625,3147.050048828125,3072.5400390625,3073.469970703125,0,2.6404523259214496,,
2021-04-01,3240.169921875,3242.330078125,3180.47998046875,3187.2900390625,0,3.6874302427999828,,
2021-04-05,3305.429931640625,3314.159912109375,3255.280029296875,3282.909912109375,0,2.014092203160156,,
2021-04-06,3266.10009765625,3304.47998046875,3236.860107421875,3283.4599609375,0,-1.1898553228400721,,
2021-04-07,3266.4599609375,3281.39990234375,3241.06005859375,3259.260009765625,0,0.011018133874962643,,
2021-04-08,3301.260009765625,3304.5400390625,3274.0400390625,3301.419921875,0,1.0653750312046517,,
2021-04-09,3294.530029296875,3295.760009765625,3262.929931640625,3272.389892578125,0,-0.203860963657565,,
2021-04-12,3258.330078125,3274.610107421875,3231.1298828125,3273.60009765625,0,-1.0987895344696796,,
2021-04-13,3252.699951171875,3284.85009765625,3223.4599609375,3275.52001953125,0,-0.17279179267082334,,
2021-04-14,3213.8798828125,3268.8701171875,3200.4599609375,3244.56005859375,0,-1.19347215980955,,
2021-04-15,3271.330078125,3276.56005859375,3226.10009765625,3250.31005859375,0,1.7875651053338215,,
2021-04-16,3253.080078125,3275.590087890625,3248.4599609375,3274.14990234375,0,-0.5578770580821457,,
2021-04-19,3171.0,3240.949951171875,3141.199951171875,3228.010009765625,0,-2.523149635231514,,
2021-04-20,3121.429931640625,3171.169921875,3106.18994140625,3158.860107421875,0,-1.5632314209831244,,
2021-04-21,3207.25,3209.280029296875,3113.739990234375,3128.22998046875,0,2.749383142945261,,
2021-04-22,3133.169921875,3206.889892578125,3119.010009765625,3203.85009765625,0,-2.3097693701769395,,
2021-04-23,3196.97998046875,3207.330078125,3145.75,3147.10009765625,0,2.03659744555329,,
2021-04-26,3250.260009765625,3256.169921875,3195.3701171875,3199.510009765625,0,1.6665737546802895,3211.373986816406,
2021-04-27,3225.610107421875,3266.25,3220.340087890625,3266.25,0,-0.7583978595462448,3219.922998046875,
2021-04-28,3178.489990234375,3208.60009765625,3175.610107421875,3208.60009765625,0,-1.4608125476504474,3226.6199951171875,
2021-04-29,3202.5,3222.2900390625,3153.97998046875,3218.360107421875,0,0.7553904476463202,3230.497998046875,
2021-04-30,3108.989990234375,3169.3798828125,3101.3798828125,3145.510009765625,0,-2.9199066281225594,3223.939001464844,
2021-05-03,3073.3798828125,3134.06005859375,3060.0,3130.06005859375,0,-1.1453915108678214,3212.3364990234377,
2021-05-04,3024.31005859375,3036.10009765625,2969.1201171875,3029.300048828125,0,-1.5966078418475638,3200.2469970703123,
2021-05-05,3042.8798828125,3080.68994140625,3022.699951171875,3063.239990234375,0,0.6140185317964564,3189.0679931640625,
2021-05-06,3066.219970703125,3068.530029296875,3002.739990234375,3032.550048828125,0,0.7670394096875199,3177.3159912109377,
2021-05-07,3112.030029296875,3129.8701171875,3085.739990234375,3103.949951171875,0,1.4940238805908335,3168.1909912109377,
2021-05-10,2967.110107421875,3078.389892578125,2965.419921875,3077.280029296875,0,-4.656764893356213,3153.629992675781,
2021-05-11,2976.010009765625,2982.840087890625,2872.31005859375,2876.27001953125,0,0.2999518730864681,3139.7954956054687,
2021-05-12,2851.14990234375,2926.860107421875,2842.330078125,2906.43994140625,0,-4.1955540140037435,3121.6589965820312,
2021-05-13,2893.93994140625,2934.449951171875,2862.8798828125,2899.800048828125,0,1.5007993451107149,3102.7894897460938,
2021-05-14,2981.419921875,3006.139892578125,2907.39990234375,2932.0400390625,0,3.0228678631886607,3089.2064819335938,
2021-05-17,2954.6298828125,2955.610107421875,2904.25,2946.81005859375,0,-0.8985664470119947,3078.387976074219,
2021-05-18,2929.14990234375,2985.929931640625,2927.340087890625,2977.860107421875,0,-0.8623746959634637,3068.773974609375,
2021-05-19,2987.280029296875,2989.820068359375,2862.679931640625,2864.35009765625,0,1.984539162936394,3057.7754760742187,
2021-05-20,3066.110107421875,3078.300048828125,3009.97998046875,3010.7900390625,0,2.6388580029959474,3054.4224853515625,
2021-05-21,3052.10009765625,3086.830078125,3044.89990234375,3085.669921875,0,-0.4569310714482189,3047.1784912109374,
2021-05-24,3122.97998046875,3141.81005859375,3079.669921875,3082.43994140625,0,2.3223315272959066,3040.814489746094,
2021-05-25,3134.669921875,3157.7900390625,3117.27001953125,3145.669921875,0,0.37432008784428206,3036.26748046875,
2021-05-26,3140.97998046875,3156.77001953125,3115.219970703125,3135.89990234375,0,0.20129898046732375,3034.391979980469,
2021-05-27,3159.27001953125,3170.860107421875,3130.639892578125,3134.2099609375,0,0.582303586021915,3032.2304809570314,
2021-05-28,3186.56005859375,3200.35009765625,3163.77001953125,3172.52001953125,0,0.8638083764219928,3036.108984375,
2021-06-01,3174.320068359375,3233.889892578125,3160.35009765625,3210.10009765625,0,-0.38411296223227476,3041.1559936523436,
2021-06-02,3196.97998046875,3206.820068359375,3163.7900390625,3167.7099609375,0,0.7138508915733421,3049.7894897460938,
2021-06-03,3139.18994140625,3171.780029296875,3126.9599609375,3161.1298828125,0,-1.8076446964183535,3054.6049926757814,
2021-06-04,3214.139892578125,3221.780029296875,3170.110107421875,3170.110107421875,0,2.387557063154322,3062.0009887695314,
2021-06-07,3191.659912109375,3205.300048828125,3172.52001953125,3199.10009765625,0,-0.6994089000500359,3065.9824829101562,
2021-06-08,3171.219970703125,3221.449951171875,3150.260009765625,3221.449951171875,0,-0.6404172740554048,3076.1879760742186,
2021-06-09,3158.47998046875,3190.659912109375,3157.820068359375,3183.409912109375,0,-0.4017378280936512,3085.311474609375,
2021-06-10,3196.2099609375,3205.77001953125,3156.800048828125,3165.199951171875,0,1.1945613301987956,3102.5644775390624,
2021-06-11,3210.06005859375,3210.27001953125,3186.260009765625,3198.889892578125,0,0.4333287808222508,3118.3704833984375,
2021-06-14,3255.340087890625,3255.590087890625,3199.969970703125,3213.56005859375,0,1.4105664215114722,3132.0664916992187,
2021-06-15,3225.97998046875,3265.56005859375,3218.22998046875,3248.1298828125,0,-0.9019059953548347,3145.633996582031,
2021-06-16,3201.010009765625,3246.320068359375,3173.5400390625,3237.010009765625,0,-0.7740274538063585,3159.227001953125,
2021-06-17,3231.7099609375,3255.31005859375,3189.1298828125,3189.25,0,0.9590707644842045,3171.4484985351564,
2021-06-18,3152.81005859375,3210.969970703125,3137.590087890625,3205.7900390625,0,-2.4414289431116454,3175.78349609375,
2021-06-21,3171.989990234375,3174.8701171875,3132.919921875,3153.199951171875,0,0.6083440259379236,3181.7779907226563,
2021-06-22,3185.429931640625,3192.550048828125,3155.080078125,3166.6201171875,0,0.4237069299596774,3184.90048828125,3145.696321614583
2021-06-23,3197.219970703125,3214.7099609375,3191.530029296875,3191.570068359375,0,0.3701239492160946,3188.0279907226563,3148.072823079427
2021-06-24,3253.800048828125,3258.43994140625,3226.030029296875,3228.7099609375,0,1.7696648539498927,3193.668994140625,3151.5603230794272
2021-06-25,3241.47998046875,3270.2099609375,3233.64990234375,3263.449951171875,0,-0.37863630753254274,3197.7794921875,3153.502657063802
2021-06-28,3323.139892578125,3333.679931640625,3274.06005859375,3274.389892578125,0,2.519216919475342,3204.6084838867187,3154.885489908854
2021-06-29,3348.8701171875,3349.989990234375,3304.989990234375,3321.550048828125,0,0.7742744946380498,3213.335986328125,3155.609493001302
