scenario,return_improves,drawdown_improves,turnover_improves,passed,candidate_return,baseline_return,candidate_mdd,baseline_mdd,candidate_turnover,baseline_turnover
IDEAL_FULL_FILL,True,True,True,True,-0.000305977118945866,-0.017502667640842073,-0.1716468902972471,-0.1906481376690169,23.653884299835617,45.83367107763751
STABILIZED_POSTERIOR_MEAN,True,True,True,True,-0.0045488387802787855,-0.02535976010765051,-0.17974993288901098,-0.20302164941558665,20.366582379663438,37.30006158257219
STABILIZED_WILSON_LOWER,False,True,True,False,0.018943636158587518,0.0678841423218699,-0.13482467135397314,-0.15198653072229407,18.08677335891874,34.460473152662345
