order_id,created_at,date,symbol,stock_name,display_name,side,status,ordered_qty,filled_qty,order_price,avg_fill_price,fill_amount,fill_price_available,execution_row_count,execution_qty,execution_amount,recorded_commission,recorded_tax,recorded_slippage,modeled_commission,modeled_tax,modeled_total_cost,broker_order_id,strategy_reason,broker_note,execution_venue,account_scope,scope_class,fill_source
1e31b684-1bfa-4439-ac2b-f88fe02e2ab8,2026-07-09T14:36:36.282387+09:00,2026-07-09,483650,달바글로벌,달바글로벌 (483650),BUY,REJECTED,854.0,0.0,217500.0,217500.0,0.0,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,모의투자 주문처리가 안되었습니다(매매불가 종목),UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,NO_FILL
3dc04211-2826-4438-a503-e4beecdbbbd5,2026-07-09T14:36:36.507759+09:00,2026-07-09,011070,LG이노텍,LG이노텍 (011070),BUY,REJECTED,164.0,0.0,763000.0,763000.0,0.0,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,초당 거래건수를 초과하였습니다.,UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,NO_FILL
58c63e8f-51aa-4548-bbc5-40da759a86cb,2026-07-09T14:36:36.897351+09:00,2026-07-09,021240,코웨이,코웨이 (021240),BUY,REJECTED,1317.0,0.0,91700.0,91700.0,0.0,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,모의투자 주문처리가 안되었습니다(매매불가 종목),UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,NO_FILL
21a9dcca-b88f-449d-ab90-8ff7c3b5113f,2026-07-09T14:36:40.486110+09:00,2026-07-09,161890,한국콜마,한국콜마 (161890),BUY,REJECTED,1657.0,0.0,112100.0,112100.0,0.0,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,모의투자 주문처리가 안되었습니다(매매불가 종목),UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,NO_FILL
d88a1cad-7fb1-4cf6-92ac-f226cc7001cc,2026-07-09T14:36:43.676552+09:00,2026-07-09,005440,현대지에프홀딩스,현대지에프홀딩스 (005440),BUY,REJECTED,7587.0,0.0,14080.0,14080.0,0.0,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,모의투자 주문처리가 안되었습니다(매매불가 종목),UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,NO_FILL
8a46aae0-0d7f-4398-a84d-f3bda93be128,2026-07-09T14:36:43.803617+09:00,2026-07-09,028260,삼성물산,삼성물산 (028260),BUY,REJECTED,446.0,0.0,395000.0,395000.0,0.0,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,초당 거래건수를 초과하였습니다.,UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,NO_FILL
ecd82bb5-443a-40c1-bc4b-be8d4451eddc,2026-07-09T14:36:43.942053+09:00,2026-07-09,012510,더존비즈온,더존비즈온 (012510),BUY,REJECTED,1548.0,0.0,120000.0,120000.0,0.0,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,모의투자 주문처리가 안되었습니다(매매불가 종목),UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,NO_FILL
5bdd0a57-320e-4697-9ae3-edc7e76b3ab2,2026-07-09T14:36:46.936121+09:00,2026-07-09,009150,삼성전기,삼성전기 (009150),BUY,REJECTED,125.0,0.0,1479000.0,1479000.0,0.0,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,모의투자 주문처리가 안되었습니다(매매불가 종목),UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,NO_FILL
5865fdd4-2fd6-4918-beda-bad4560c978b,2026-07-09T14:36:49.977639+09:00,2026-07-09,023530,롯데쇼핑,롯데쇼핑 (023530),BUY,REJECTED,1164.0,0.0,159600.0,159600.0,0.0,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,모의투자 주문처리가 안되었습니다(매매불가 종목),UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,NO_FILL
20f736da-4fc2-4193-be43-92858a83ca0d,2026-07-09T14:36:54.313904+09:00,2026-07-09,402340,SK스퀘어,SK스퀘어 (402340),BUY,REJECTED,146.0,0.0,1270000.0,1270000.0,0.0,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,모의투자 주문처리가 안되었습니다(매매불가 종목),UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,NO_FILL
cde2c268-a5f5-4f5e-8690-0fac0c4a72de,2026-07-09T14:37:02.516366+09:00,2026-07-09,001800,오리온홀딩스,오리온홀딩스 (001800),BUY,REJECTED,6597.0,0.0,26050.0,26050.0,0.0,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,모의투자 주문처리가 안되었습니다(매매불가 종목),UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,NO_FILL
fc8201b1-240a-4e94-a5b0-5b136487b0c8,2026-07-09T14:37:07.100602+09:00,2026-07-09,161390,한국타이어앤테크놀로지,한국타이어앤테크놀로지 (161390),BUY,REJECTED,827.0,0.0,73000.0,73000.0,0.0,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,모의투자 주문처리가 안되었습니다(매매불가 종목),UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,NO_FILL
1040c899-c1bd-46fe-9b8c-09eaa10255de,2026-07-09T14:38:27.452252+09:00,2026-07-09,402340,SK스퀘어,SK스퀘어 (402340),BUY,REJECTED,146.0,0.0,1270000.0,1270000.0,0.0,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,모의투자 주문처리가 안되었습니다(매매불가 종목),UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,NO_FILL
43975673-bd97-4320-91e6-8d2250c6d7e2,2026-07-09T14:38:27.626806+09:00,2026-07-09,034730,SK,SK (034730),BUY,REJECTED,311.0,0.0,596000.0,596000.0,0.0,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,모의투자 주문처리가 안되었습니다(매매불가 종목),UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,NO_FILL
406325a2-7337-4982-8aec-0b363b5bc7ad,2026-07-09T14:38:32.435649+09:00,2026-07-09,005440,현대지에프홀딩스,현대지에프홀딩스 (005440),BUY,REJECTED,7587.0,0.0,14080.0,14080.0,0.0,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,모의투자 주문처리가 안되었습니다(매매불가 종목),UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,NO_FILL
aa4468e3-7f20-46c3-a14e-efe2eca4c3da,2026-07-09T14:38:37.943819+09:00,2026-07-09,028260,삼성물산,삼성물산 (028260),BUY,REJECTED,446.0,0.0,395000.0,395000.0,0.0,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,모의투자 주문처리가 안되었습니다(매매불가 종목),UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,NO_FILL
47cec8d2-62ac-4091-bf45-94061599c059,2026-07-09T14:38:43.664572+09:00,2026-07-09,161390,한국타이어앤테크놀로지,한국타이어앤테크놀로지 (161390),BUY,REJECTED,827.0,0.0,73000.0,73000.0,0.0,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,모의투자 주문처리가 안되었습니다(매매불가 종목),UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,NO_FILL
