component,amount,classification,notes
5억원 대비 총손익,-29181071.0,EXACT_ENDPOINT,"현재 PAPER 총평가액 - 500,000,000원"
현재 보유종목 평가손익,6354287.0,BROKER_REPORTED,컷오프 스냅샷의 보유수량·평균단가·현재가
기록으로 매칭된 실현손익(총액),-14998921.188234543,PARTIAL_ESTIMATE,기록된 체결만 평균단가법으로 매칭; 누락 거래 때문에 전체 실현손익 아님
추정 수수료·세금,-2553458.6544087,MODELED,"매수/매도 수수료 0.015%, 매도세 0.18%"
미복원 조정손익,-17982978.157356754,UNRESOLVED_BALANCING_ITEM,초기 보유·누락 체결·수수료·외부 변동을 포함하는 잔차
