지표,IT시총_상관계수
반도체(SOX),0.766604005748367
구리(HG=F),0.7587843172327514
금(GC=F),0.7585301242397532
미국CPI_CPIAUCSL,0.516242649851757
해운운임(BDI),0.17498587451951186
미국10년국채(TNX),0.13904588728369457
석유(WTI),-0.309466399195902
미국CPI_YoY,-0.3464261316539647
