Date,Close,CPI_YoY
2021-01-01,262.045,1.32
2021-01-04,262.045,1.32
2021-01-05,262.045,1.32
2021-01-06,262.045,1.32
2021-01-07,262.045,1.32
2021-01-08,262.045,1.32
2021-01-11,262.045,1.32
2021-01-12,262.045,1.32
2021-01-13,262.045,1.32
2021-01-14,262.045,1.32
2021-01-15,262.045,1.32
2021-01-18,262.045,1.32
2021-01-19,262.045,1.32
2021-01-20,262.045,1.32
2021-01-21,262.045,1.32
2021-01-22,262.045,1.32
2021-01-25,262.045,1.32
2021-01-26,262.045,1.32
2021-01-27,262.045,1.32
2021-01-28,262.045,1.32
2021-01-29,262.045,1.32
2021-02-01,262.045,1.32
2021-02-02,262.045,1.32
2021-02-03,262.045,1.32
2021-02-04,262.045,1.32
2021-02-05,262.045,1.32
2021-02-08,262.045,1.32
2021-02-09,262.045,1.32
2021-02-10,262.045,1.32
2021-02-11,262.045,1.32
2021-02-12,262.045,1.32
2021-02-15,262.045,1.32
2021-02-16,263.579,1.67
2021-02-17,263.579,1.67
2021-02-18,263.579,1.67
2021-02-19,263.579,1.67
2021-02-22,263.579,1.67
2021-02-23,263.579,1.67
2021-02-24,263.579,1.67
2021-02-25,263.579,1.67
2021-02-26,263.579,1.67
2021-03-01,263.579,1.67
2021-03-02,263.579,1.67
2021-03-03,263.579,1.67
2021-03-04,263.579,1.67
2021-03-05,263.579,1.67
2021-03-08,263.579,1.67
2021-03-09,263.579,1.67
2021-03-10,263.579,1.67
2021-03-11,263.579,1.67
2021-03-12,263.579,1.67
2021-03-15,263.579,1.67
2021-03-16,264.961,2.67
2021-03-17,264.961,2.67
2021-03-18,264.961,2.67
2021-03-19,264.961,2.67
2021-03-22,264.961,2.67
2021-03-23,264.961,2.67
2021-03-24,264.961,2.67
2021-03-25,264.961,2.67
2021-03-26,264.961,2.67
2021-03-29,264.961,2.67
2021-03-30,264.961,2.67
2021-03-31,264.961,2.67
2021-04-01,264.961,2.67
2021-04-02,264.961,2.67
2021-04-05,264.961,2.67
2021-04-06,264.961,2.67
2021-04-07,264.961,2.67
2021-04-08,264.961,2.67
2021-04-09,264.961,2.67
2021-04-12,264.961,2.67
2021-04-13,264.961,2.67
2021-04-14,264.961,2.67
2021-04-15,264.961,2.67
2021-04-16,266.614,4.13
2021-04-19,266.614,4.13
2021-04-20,266.614,4.13
2021-04-21,266.614,4.13
2021-04-22,266.614,4.13
2021-04-23,266.614,4.13
2021-04-26,266.614,4.13
2021-04-27,266.614,4.13
2021-04-28,266.614,4.13
2021-04-29,266.614,4.13
2021-04-30,266.614,4.13
2021-05-03,266.614,4.13
2021-05-04,266.614,4.13
2021-05-05,266.614,4.13
2021-05-06,266.614,4.13
2021-05-07,266.614,4.13
2021-05-10,266.614,4.13
2021-05-11,266.614,4.13
2021-05-12,266.614,4.13
2021-05-13,266.614,4.13
2021-05-14,266.614,4.13
2021-05-17,266.614,4.13
2021-05-18,266.614,4.13
2021-05-19,266.614,4.13
2021-05-20,266.614,4.13
2021-05-21,266.614,4.13
2021-05-24,266.614,4.13
2021-05-25,266.614,4.13
2021-05-26,266.614,4.13
2021-05-27,266.614,4.13
2021-05-28,266.614,4.13
2021-05-31,266.614,4.13
2021-06-01,266.614,4.13
2021-06-02,266.614,4.13
2021-06-03,266.614,4.13
2021-06-04,266.614,4.13
2021-06-07,266.614,4.13
2021-06-08,266.614,4.13
2021-06-09,266.614,4.13
2021-06-10,266.614,4.13
2021-06-11,266.614,4.13
2021-06-14,266.614,4.13
2021-06-15,266.614,4.13
2021-06-16,270.654,5.3
2021-06-17,270.654,5.3
