Date,Close,CPI_YoY
2022-01-03,280.845,7.17
2022-01-04,280.845,7.17
2022-01-05,280.845,7.17
2022-01-06,280.845,7.17
2022-01-07,280.845,7.17
2022-01-10,280.845,7.17
2022-01-11,280.845,7.17
2022-01-12,280.845,7.17
2022-01-13,280.845,7.17
2022-01-14,280.845,7.17
2022-01-17,280.845,7.17
2022-01-18,280.845,7.17
2022-01-19,280.845,7.17
2022-01-20,280.845,7.17
2022-01-21,280.845,7.17
2022-01-24,280.845,7.17
2022-01-25,280.845,7.17
2022-01-26,280.845,7.17
2022-01-27,280.845,7.17
2022-01-28,280.845,7.17
2022-01-31,280.845,7.17
2022-02-01,280.845,7.17
2022-02-02,280.845,7.17
2022-02-03,280.845,7.17
2022-02-04,280.845,7.17
2022-02-07,280.845,7.17
2022-02-08,280.845,7.17
2022-02-09,280.845,7.17
2022-02-10,280.845,7.17
2022-02-11,280.845,7.17
2022-02-14,280.845,7.17
2022-02-15,280.845,7.17
2022-02-16,284.5,7.94
2022-02-17,284.5,7.94
2022-02-18,284.5,7.94
2022-02-21,284.5,7.94
2022-02-22,284.5,7.94
2022-02-23,284.5,7.94
2022-02-24,284.5,7.94
2022-02-25,284.5,7.94
2022-02-28,284.5,7.94
2022-03-01,284.5,7.94
2022-03-02,284.5,7.94
2022-03-03,284.5,7.94
2022-03-04,284.5,7.94
2022-03-07,284.5,7.94
2022-03-08,284.5,7.94
2022-03-09,284.5,7.94
2022-03-10,284.5,7.94
2022-03-11,284.5,7.94
2022-03-14,284.5,7.94
2022-03-15,284.5,7.94
2022-03-16,287.674,8.57
2022-03-17,287.674,8.57
2022-03-18,287.674,8.57
2022-03-21,287.674,8.57
2022-03-22,287.674,8.57
2022-03-23,287.674,8.57
2022-03-24,287.674,8.57
2022-03-25,287.674,8.57
2022-03-28,287.674,8.57
2022-03-29,287.674,8.57
2022-03-30,287.674,8.57
2022-03-31,287.674,8.57
2022-04-01,287.674,8.57
2022-04-04,287.674,8.57
2022-04-05,287.674,8.57
2022-04-06,287.674,8.57
2022-04-07,287.674,8.57
2022-04-08,287.674,8.57
2022-04-11,287.674,8.57
2022-04-12,287.674,8.57
2022-04-13,287.674,8.57
2022-04-14,287.674,8.57
2022-04-15,287.674,8.57
2022-04-18,287.674,8.57
2022-04-19,287.674,8.57
2022-04-20,287.674,8.57
2022-04-21,287.674,8.57
2022-04-22,287.674,8.57
2022-04-25,287.674,8.57
2022-04-26,287.674,8.57
2022-04-27,287.674,8.57
2022-04-28,287.674,8.57
2022-04-29,287.674,8.57
2022-05-02,287.674,8.57
2022-05-03,287.674,8.57
2022-05-04,287.674,8.57
2022-05-05,287.674,8.57
2022-05-06,287.674,8.57
2022-05-09,287.674,8.57
2022-05-10,287.674,8.57
2022-05-11,287.674,8.57
