,period,variant,trading_days,total_return,cagr,annual_volatility,sharpe_zero_rf,sortino_zero_rf,calmar,max_drawdown,positive_day_rate,profit_factor_daily,best_day,worst_day,average_daily_turnover,annualized_turnover,total_cost_ratio,final_equity_multiple
0,2026,A0_LEGACY,107,0.22092039802461527,0.6001506074411187,0.4746318355129792,1.228413890583862,1.6291172594599335,3.696429216152383,-0.162359556303317,0.5887850467289719,1.2369281557157399,0.07943992973530438,-0.11689899598521436,0.07789295837137651,19.62902550958688,0.016425126038039084,1.2209203980246153
1,2026,X_CAP15_ONLY,107,0.08138507870439904,0.20234344889871436,0.4252985762824278,0.6484151650172234,0.7453023955644297,1.1215432899545466,-0.18041519280714957,0.5981308411214953,1.1217163922353623,0.08722925264498141,-0.1275055573420813,0.06684939577251138,16.84604773467287,0.014117322406217672,1.081385078704399
2,2026,A_CURRENT,107,0.01534160038509147,0.036507888573948044,0.3490631510673817,0.2789600249344628,0.32443498001638743,0.21301135037434937,-0.1713894048828315,0.5607476635514018,1.0500502095506312,0.049703460244929165,-0.10758222375312902,0.11453774757680317,28.863512389354398,0.024756562987136858,1.0153416003850915
3,2026,X_COOLDOWN5,107,-0.011988754822992775,-0.028006163645882376,0.34071885307298083,0.08873618594248822,0.09542903064029568,-0.14499162604997462,-0.1931571112681323,0.5514018691588785,1.0168999055235226,0.06589180855801646,-0.09811963381479036,0.09543043018389294,24.04846840634102,0.020869840954573508,0.9880112451770072
4,2026,R_EXIT_RECOVERY,107,0.11554165985752607,0.293706323355323,0.28839453687281064,1.0373755806559222,1.2807580225483213,2.3220218193176754,-0.12648732277702213,0.5327102803738317,1.1989655196758962,0.05347097335273204,-0.06545770554296228,0.07941376221861252,20.012268079090354,0.017181810339818825,1.115541659857526
5,2026,R_TREND_REARM,107,-0.10991387611909176,-0.23983942237022615,0.2665203792565303,-0.894297219491156,-0.9917806343784611,-1.1270757866883794,-0.21279795485176045,0.4766355140186916,0.8420217991481488,0.0460430245807938,-0.08094945573088937,0.07512591021999473,18.931729375438675,0.016193780061455085,0.8900861238809082
6,2026,B_EQUAL,107,-0.026164121723439626,-0.06053116835595174,0.3766930116450525,0.026830811424444614,0.027683735502187775,-0.2962194559782806,-0.20434568740950632,0.5981308411214953,1.0049306769509507,0.05181778983042135,-0.13058251288184217,0.12418827033053238,31.29544412329416,0.0269456560634828,0.9738358782765604
7,2026,C_CAP10,107,-0.058691517311578956,-0.1327683633900063,0.2713534874666388,-0.3870337331995483,-0.394100983389408,-0.77506965157775,-0.17129862215575065,0.5607476635514018,0.9267475394765321,0.05389332354909868,-0.10323246435436735,0.07675140986235744,19.341355285314076,0.01664487240604401,0.941308482688421
8,2026,C_CAP08,107,-0.08977263616965303,-0.19870532217453796,0.19101287023584634,-1.0629558524358516,-1.110711438553258,-1.3087894932824324,-0.15182374491423123,0.5327102803738317,0.8132887170277773,0.03374815613310856,-0.0735421111630431,0.05892721670542096,14.849658609766083,0.012840375953066125,0.910227363830347
9,2026,D_BAND20,107,0.1186674788329698,0.3022600335879617,0.36757385297188877,0.9046559538417229,0.9810108550685476,1.8632192864754105,-0.16222461616943484,0.5887850467289719,1.1812121182739668,0.06605459328042292,-0.11363521771828916,0.09498186374535814,23.93542966383025,0.020383314054265942,1.1186674788329698
10,2026,E_VOL_RISK,107,-0.06412546779653172,-0.14451286776031969,0.23959924566941998,-0.5314694169723975,-0.5831343503471014,-0.8448608559309995,-0.17104931154737057,0.4766355140186916,0.8938888736216158,0.06109800412742639,-0.07554663376348267,0.07539271560216766,18.99896433174625,0.01623771067982422,0.9358745322034683
