Price,Close,High,Low,Open,Volume,Daily Return
Ticker,HG=F,HG=F,HG=F,HG=F,HG=F,
Date,,,,,,
2021-03-29,4.043000221252441,4.068999767303467,4.019999980926514,4.065000057220459,441,
2021-03-30,3.9830000400543213,4.0355000495910645,3.9749999046325684,4.0355000495910645,1052,-1.484050900683187
2021-03-31,4.002999782562256,4.011499881744385,3.989000082015991,4.00600004196167,289,0.502127599970148
2021-04-01,4.003499984741211,4.014999866485596,3.984999895095825,3.984999895095825,815,0.012495683390589818
2021-04-05,4.14900016784668,4.1620001792907715,4.053999900817871,4.053999900817871,243,3.634324557512736
2021-04-06,4.126500129699707,4.151000022888184,4.098499774932861,4.150000095367432,269,-0.5423002467278781
2021-04-07,4.064000129699707,4.118500232696533,4.054999828338623,4.117499828338623,467,-1.5146007036366704
2021-04-08,4.103499889373779,4.103499889373779,4.085000038146973,4.085000038146973,366,0.9719428743470759
2021-04-09,4.05049991607666,4.088500022888184,4.05049991607666,4.088500022888184,518,-1.2915797423161957
2021-04-12,4.03000020980835,4.0370001792907715,4.019999980926514,4.027500152587891,491,-0.5061031154931284
2021-04-13,4.043000221252441,4.043000221252441,4.014500141143799,4.014500141143799,603,0.3225809123396983
2021-04-14,4.139999866485596,4.139999866485596,4.046000003814697,4.046500205993652,452,2.3991996023959183
2021-04-15,4.230500221252441,4.237500190734863,4.175000190734863,4.175000190734863,403,2.1859989779098754
2021-04-16,4.179999828338623,4.239500045776367,4.175000190734863,4.235000133514404,440,-1.193721552362137
2021-04-19,4.25,4.269999980926514,4.179999828338623,4.179999828338623,283,1.6746453238300596
2021-04-20,4.223999977111816,4.269499778747559,4.223999977111816,4.248499870300293,234,-0.6117652444278532
2021-04-21,4.286499977111816,4.286499977111816,4.252500057220459,4.252500057220459,221,1.4796401595327247
2021-04-22,4.2804999351501465,4.2845001220703125,4.267000198364258,4.2845001220703125,239,-0.13997531771160476
2021-04-23,4.3429999351501465,4.3429999351501465,4.338500022888184,4.3429999351501465,607,1.460109822377742
2021-04-26,4.447999954223633,4.447999954223633,4.418000221252441,4.418000221252441,243,2.417684104106632
2021-04-27,4.743000030517578,4.743000030517578,4.459000110626221,4.518499851226807,493,6.632196028100812
2021-04-28,4.5370001792907715,4.755000114440918,4.510000228881836,4.755000114440918,48303,-4.343239508778307
2021-04-29,4.493000030517578,4.552999973297119,4.4704999923706055,4.497499942779541,9852,-0.9698070759184163
2021-04-30,4.479000091552734,4.533999919891357,4.456999778747559,4.492000102996826,1629,-0.3115944551469574
2021-05-03,4.543000221252441,4.547500133514404,4.449999809265137,4.497499942779541,927,1.4288932438382806
2021-05-04,4.535999774932861,4.573500156402588,4.505499839782715,4.520500183105469,678,-0.1540930217619474
2021-05-05,4.539000034332275,4.58050012588501,4.519999980926514,4.565499782562256,827,0.06614328810143899
2021-05-06,4.61899995803833,4.624000072479248,4.514999866485596,4.535999774932861,925,1.762501059725663
2021-05-07,4.765999794006348,4.767000198364258,4.61899995803833,4.61899995803833,1019,3.1825035138222324
