stock_code,company_name,corp_code,snapshot_date,market_cap_wics_raw,trading_value_wics_raw,shares_outstanding,wics_index_code,wics_index_name,wics_large_code,wics_large_name,market,data_provider
418620,E8,01516890,20260327,15162,365226,11314771,G4510,WICS 소프트웨어와서비스,G45,IT,KOSPI,wics_local_fallback
037370,EG,00261054,20260327,33234,1649949,6554978,G1510,WICS 소재,G15,소재,KOSPI,wics_local_fallback
365550,ESR켄달스퀘어리츠,01437186,20260327,800097,20068,184566750,G4050,WICS 부동산,G40,금융,KOSPI,wics_local_fallback
050120,ES큐브,00175623,20260327,15492,456464,6375120,G2520,WICS 내구소비재와의류,G25,경기관련소비재,KOSPI,wics_local_fallback
383220,F&F,01568413,20260327,896386,456464,13790547,G2520,WICS 내구소비재와의류,G25,경기관련소비재,KOSPI,wics_local_fallback
007700,F&F홀딩스,00126487,20260327,59892,456464,3129149,G2520,WICS 내구소비재와의류,G25,경기관련소비재,KOSPI,wics_local_fallback
214270,FSN,01061497,20260327,56831,945391,24030027,G5020,WICS 미디어와엔터테인먼트,G50,커뮤니케이션서비스,KOSPI,wics_local_fallback
130500,GH신소재,00491938,20260327,17604,1375712,7127075,G2510,WICS 자동차와부품,G25,경기관련소비재,KOSPI,wics_local_fallback
114090,GKL,00557508,20260327,360074,64614,30309278,G2530,"WICS 호텔,레스토랑,레저등",G25,경기관련소비재,KOSPI,wics_local_fallback
078930,GS,00500254,20260327,3028298,870675,44599381,G1010,WICS 에너지,G10,에너지,KOSPI,wics_local_fallback
083450,GST,00540863,20260327,363928,11083547,13453900,G4530,WICS 반도체와반도체장비,G45,IT,KOSPI,wics_local_fallback
006360,GS건설,00120030,20260327,1668753,6776021,63330302,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
001250,GS글로벌,00138190,20260327,102408,6776021,39616206,G2010,WICS 자본재,G20,산업재,KOSPI,wics_local_fallback
007070,GS리테일,00140177,20260327,710663,215583,33442966,G2550,WICS 소매(유통),G25,경기관련소비재,KOSPI,wics_local_fallback
499790,GS피앤엘,01882845,20260327,380752,64614,7932336,G2530,"WICS 호텔,레스토랑,레저등",G25,경기관련소비재,KOSPI,wics_local_fallback
297890,HB솔루션,00523936,20260327,103341,153256,51930048,G4540,WICS 디스플레이,G45,IT,KOSPI,wics_local_fallback
440290,HB인베스트먼트,00309460,20260327,25355,1158369,12102829,G4030,WICS 다각화된금융,G40,금융,KOSPI,wics_local_fallback
078150,HB테크놀러지,00255275,20260327,132584,153256,60265345,G4540,WICS 디스플레이,G45,IT,KOSPI,wics_local_fallback
