order_id,created_at,date,symbol,stock_name,display_name,side,status,db_original_status,db_original_filled_qty,broker_status_override,ordered_qty,filled_qty,order_price,avg_fill_price,fill_amount,fill_price_available,execution_row_count,execution_qty,execution_amount,db_original_execution_row_count,db_original_execution_qty,db_original_execution_amount,broker_backfill_total_amount,broker_backfill_reported_avg_price,recorded_commission,recorded_tax,recorded_slippage,modeled_commission,modeled_tax,modeled_total_cost,broker_order_id,strategy_reason,broker_note,execution_venue,account_scope,scope_class,fill_source
4e4156dc-286c-4318-9e50-e320e7deafee,2026-07-03T13:56:07.105403+09:00,2026-07-03,161390,한국타이어앤테크놀로지,한국타이어앤테크놀로지 (161390),BUY,FILLED,FILLED,20.0,False,20.0,20.0,66300.0,66190.0,1323800.0,True,1,20.0,1323800.0,1.0,20.0,1323800.0,1323800.0,66190.0,0.0,0.0,0.0,198.57,0.0,198.57,0000031274,,"status poll error: HTTPSConnectionPool(host='openapivts.koreainvestment.com', port=29443): Read timed out. (read timeout=1.3589999999967404); cancel request failed: KIS business error [40330000]: 모의투자 정정/취소할 수량이 없습니다.; broker state unresolved; requires reconciliation",UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,EXECUTION_ROWS
bda4bb51-d3fb-4261-a49c-f5108245176f,2026-07-03T13:56:33.516320+09:00,2026-07-03,278470,에이피알,에이피알 (278470),BUY,FILLED,FILLED,9.0,False,9.0,9.0,378000.0,377055.55555555556,3393500.0,True,1,9.0,3393495.0,1.0,9.0,3393495.0,3393500.0,377055.0,0.0,0.0,0.0,509.025,0.0,509.025,0000031304,,"status poll error: HTTPSConnectionPool(host='openapivts.koreainvestment.com', port=29443): Read timed out. (read timeout=5)",UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,EXECUTION_ROWS
a330088f-b9e2-4c87-8972-b12b6bd742c1,2026-07-03T13:56:43.184206+09:00,2026-07-03,278470,에이피알,에이피알 (278470),BUY,FILLED,FILLED,5.0,False,5.0,5.0,378500.0,378000.0,1890000.0,True,1,5.0,1890000.0,1.0,5.0,1890000.0,1890000.0,378000.0,0.0,0.0,0.0,283.5,0.0,283.5,0000031319,,,UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,EXECUTION_ROWS
6727500b-e42a-441c-8f3b-ab222ae521d1,2026-07-03T13:57:11.302596+09:00,2026-07-03,012330,현대모비스,현대모비스 (012330),BUY,FILLED,FILLED,1.0,False,1.0,1.0,491000.0,490000.0,490000.0,True,1,1.0,490000.0,1.0,1.0,490000.0,490000.0,490000.0,0.0,0.0,0.0,73.5,0.0,73.5,0000031358,,,UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,EXECUTION_ROWS
055067b1-196e-4051-b434-2bc8713587e9,2026-07-03T13:57:19.870883+09:00,2026-07-03,012330,현대모비스,현대모비스 (012330),BUY,FILLED,FILLED,4.0,False,4.0,4.0,490500.0,489625.0,1958500.0,True,1,4.0,1958500.0,1.0,4.0,1958500.0,1958500.0,489625.0,0.0,0.0,0.0,293.775,0.0,293.775,0000031367,,,UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,EXECUTION_ROWS
722f1908-a3d0-4ef1-b20b-7bb0752cda3f,2026-07-03T13:57:31.066052+09:00,2026-07-03,012330,현대모비스,현대모비스 (012330),BUY,FILLED,FILLED,10.0,False,10.0,10.0,490500.0,489550.0,4895500.0,True,1,10.0,4895500.0,1.0,10.0,4895500.0,4895500.0,489550.0,0.0,0.0,0.0,734.3249999999999,0.0,734.3249999999999,0000031377,,,UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,EXECUTION_ROWS
d9d855c1-5640-4ba0-a835-8e7c1c0cae01,2026-07-03T13:57:38.954617+09:00,2026-07-03,012330,현대모비스,현대모비스 (012330),BUY,FILLED,FILLED,42.0,False,42.0,42.0,490500.0,489500.0,20559000.0,True,2,42.0,20559000.0,2.0,42.0,20559000.0,20559000.0,489500.0,0.0,0.0,0.0,3083.85,0.0,3083.85,0000031389,,"status poll error: HTTPSConnectionPool(host='openapivts.koreainvestment.com', port=29443): Read timed out. (read timeout=2.7189999999973224); cancel request failed: KIS business error [40330000]: 모의투자 정정/취소할 수량이 없습니다.; broker state unresolved; requires reconciliation",UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,EXECUTION_ROWS
fb10065f-decb-4118-9241-09cadece42b7,2026-07-03T13:57:59.755332+09:00,2026-07-03,034730,SK,SK (034730),BUY,FILLED,FILLED,11.0,False,11.0,11.0,683000.0,681818.1818181818,7500000.0,True,1,11.0,7499998.0,1.0,11.0,7499998.0,7500000.0,681818.0,0.0,0.0,0.0,1125.0,0.0,1125.0,0000031416,,"status poll error: HTTPSConnectionPool(host='openapivts.koreainvestment.com', port=29443): Read timed out. (read timeout=5)",UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,EXECUTION_ROWS
67d429c2-185c-4055-9a98-e7b385665986,2026-07-03T13:58:44.107785+09:00,2026-07-03,161390,한국타이어앤테크놀로지,한국타이어앤테크놀로지 (161390),BUY,FILLED,FILLED,56.0,False,56.0,56.0,66400.0,66212.5,3707900.0,True,2,56.0,3708488.0,2.0,56.0,3708488.0,3707900.0,66212.0,0.0,0.0,0.0,556.185,0.0,556.185,0000031472,,"status poll error: HTTPSConnectionPool(host='openapivts.koreainvestment.com', port=29443): Read timed out. (read timeout=5)",UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,EXECUTION_ROWS
5b092e7f-cb94-443c-9352-96a5e2c531b1,2026-07-03T13:59:19.343447+09:00,2026-07-03,012330,현대모비스,현대모비스 (012330),BUY,FILLED,FILLED,17.0,False,17.0,17.0,491000.0,490500.0,8338500.0,True,1,17.0,8338500.0,1.0,17.0,8338500.0,8338500.0,490500.0,0.0,0.0,0.0,1250.7749999999999,0.0,1250.7749999999999,0000031517,,"open order status unresolved: HTTPSConnectionPool(host='openapivts.koreainvestment.com', port=29443): Read timed out. (read timeout=1.9059999999881256)",UNKNOWN,UNKNOWN,INFERRED_LEGACY_PAPER,EXECUTION_ROWS
