date,A0_LEGACY,X_CAP15_ONLY,A_CURRENT,X_COOLDOWN5,R_EXIT_RECOVERY,R_TREND_REARM,B_EQUAL,C_CAP10,C_CAP08,D_BAND20,E_VOL_RISK
2026-01-30,0.3207474201377242,0.44999999999999996,0.0,0.0,0.44999999999999996,0.15,0.15,0.2,0.08,0.15,0.0
2026-02-02,0.07651638884748257,0.15,0.3,0.15,0.15,0.0,0.3,0.0,0.0,0.3,0.2
2026-02-03,0.3535664151396659,0.0,0.15,0.3,0.10738173021994882,0.3139857125805742,0.1549483063453798,0.1,0.16,0.0,0.2
2026-02-04,0.048742859615717476,0.1309851122987794,0.26142737271157435,0.1347345290697213,0.15,0.0,0.05585571919557086,0.1,0.16,0.0,0.1
2026-02-05,0.0,0.0,0.0,0.07148081453922366,0.0,0.0,0.12857142857142856,0.1,0.08,0.0,0.2
2026-02-06,0.1668610437943569,0.1347345290697213,0.15,0.15,0.0,0.15,0.12857142857142856,0.1,0.0,0.20621534360894495,0.0
2026-02-09,0.13827273022329928,0.15,0.0,0.0,0.0,0.09378465639105496,0.0,0.0,0.0,0.09378465639105496,0.0
2026-02-10,0.0,0.018893168520116133,0.0196153787893682,0.0,0.07148081453922366,0.0,0.12857142857142856,0.1,0.011148939339383573,0.15,0.0
2026-02-11,0.0,0.0,0.0,0.0,0.017368227528236746,0.0,0.013539032877011581,0.0,0.0,0.0,0.0
2026-02-12,0.0,0.0,0.0,0.0,0.0,0.07148081453922366,0.0,0.0,0.0,0.0,0.0
2026-02-13,0.0,0.0,0.0,0.015079681494160835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-19,0.12383523722919365,0.022006254100606693,0.045544300451113705,0.0,0.17258555278200066,0.020650380980228845,0.023224443030259626,0.1,0.0,0.07575886615172732,0.1
2026-02-20,0.0,0.046465488396309824,0.15,0.03532247323212123,0.0,0.22137361507986086,0.01461422220316451,0.0,0.0,0.0,0.0
2026-02-23,0.0,0.0,0.0,0.022399426881509588,0.029952890517158492,0.025519553309941323,0.02868619422487964,0.0,0.0,0.1267743671857305,0.0
2026-02-24,0.0434346738223197,0.0,0.13681113939758233,0.10636307578218514,0.0,0.0,0.0,0.0,0.08,0.0,0.0
2026-02-25,0.006328995478886802,0.0,0.04798411441394222,0.0,0.0,0.016506299721919054,0.014126922082591906,0.0,0.0,0.0,0.0
2026-02-26,0.0,0.0,0.0,0.0,0.0,0.029897998161021025,0.12376990192719904,0.0,0.09889903299561624,0.0,0.0
2026-02-27,0.1768378955209441,0.10452739912213055,0.1622023774915298,0.17785176559347884,0.21930742000991432,0.2905749065382848,0.1125,0.19530374006976506,0.08,0.022407764538406122,0.0
2026-03-03,0.03410249341187016,0.0,0.15,0.41779907568139074,0.24783810713264043,0.041120812617070485,0.4119909170218131,0.10039780312758595,0.1645397432991209,0.29559796161482194,0.2008564108784351
2026-03-04,0.021590156707589493,0.1664521225707801,0.5341062539216762,0.3092001247973982,0.47870653917876704,0.0,0.22133120633613995,0.2054198908253094,0.4633047418780675,0.05701787971041007,0.2
2026-03-05,0.0,0.0,0.41085406348678566,0.0,0.19163081954973837,0.30208707618709785,0.3745982747414215,0.297008168790058,0.15164435965117445,0.1478613573217321,0.19833545674391365
2026-03-06,0.0655137339193552,0.14428006757310852,0.20976705592845954,0.10993863145857845,0.0,0.0,0.09640673430923513,0.1867117957763524,0.0,0.13491588747885463,0.08873067976196453
2026-03-09,0.21887719065101605,0.029043734427442305,0.09849870432010847,0.07753150807096226,0.15,0.147466902606285,0.15,0.1035577263891499,0.08,0.08617769472913316,0.1920902887737545
2026-03-10,0.050346920299604636,0.2562001963001208,0.13573872163518075,0.10227566209104243,0.15,0.2527179602943777,0.15,0.2,0.08,0.3,0.10179732244065157
