date,A0_LEGACY,X_CAP15_ONLY,A_CURRENT,X_COOLDOWN5,R_EXIT_RECOVERY,R_TREND_REARM,B_EQUAL,C_CAP10,C_CAP08,D_BAND20,E_VOL_RISK
2026-01-30,0.00036885953315838287,0.0005175,0.0,0.0,0.0005175,0.0001725,0.0001725,0.00023,9.2e-05,0.0001725,0.0
2026-02-02,0.00022572334710007358,0.0001725,0.000345,0.0001725,0.0001725,0.0,0.000345,0.0,0.0,0.000345,0.00023
2026-02-03,0.00045570111117750663,0.0,0.0001725,0.000345,0.0001479637226449501,0.000386257852112694,0.00022566893229029894,0.000115,0.000184,0.0,0.00023
2026-02-04,5.6054288558075094e-05,0.00025774061511079667,0.0004000231310030435,0.0001549447084301795,0.0001725,0.0,0.00016477437162693405,0.000115,0.000184,0.0,0.000115
2026-02-05,0.0,0.0,0.0,8.22029367201072e-05,0.0,0.0,0.00014785714285714283,0.000115,9.2e-05,0.0,0.00023
2026-02-06,0.00019189020036351043,0.0001549447084301795,0.0001725,0.0001725,0.0,0.0001725,0.00014785714285714283,0.000115,0.0,0.00023714764515028668,0.0
2026-02-09,0.00015901363975679418,0.0001725,0.0,0.0,0.0,0.00010785235484971321,0.0,0.0,0.0,0.00010785235484971321,0.0
2026-02-10,0.0,5.573484713434259e-05,5.7865367428636184e-05,0.0,8.22029367201072e-05,0.0,0.00014785714285714283,0.000115,3.2889371051181544e-05,0.0001725,0.0
2026-02-11,0.0,0.0,0.0,0.0,5.12362712082984e-05,0.0,3.9940146987184164e-05,0.0,0.0,0.0,0.0
2026-02-12,0.0,0.0,0.0,0.0,0.0,8.22029367201072e-05,0.0,0.0,0.0,0.0,0.0
2026-02-13,0.0,0.0,0.0,4.4485060407774464e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-19,0.00021038793415194585,6.491844959678975e-05,0.00013435568633078543,0.0,0.00031767384429896866,6.091862389167509e-05,6.85121069392659e-05,0.000115,0.0,0.00022348865514759558,0.000115
2026-02-20,0.0,0.00013707319076911397,0.0001725,0.00010420129603475763,0.0,0.00025457965734184,4.31119554993353e-05,0.0,0.0,0.0,0.0
2026-02-23,0.0,0.0,0.0,6.607830930045328e-05,8.836102702561755e-05,7.52826822643269e-05,8.462427296339494e-05,0.0,0.0,0.00018253084678997172,0.0
2026-02-24,0.0001281322877758431,0.0,0.00021213932481493458,0.0001223175371495129,0.0,0.0,0.0,0.0,9.2e-05,0.0,0.0
2026-02-25,1.8670536662716066e-05,0.0,0.00014155313752112954,0.0,0.0,4.869358417966121e-05,4.167442014364612e-05,0.0,0.0,0.0,0.0
2026-02-26,0.0,0.0,0.0,0.0,0.0,8.819909457501202e-05,0.00016262121068523716,0.0,0.0001477521473370679,0.0,0.0
2026-02-27,0.0004273757651435239,0.00012020650899045012,0.00043557248239171556,0.00020452953043250066,0.0005408427342491526,0.0008571959742879402,0.00012937500000000001,0.0003961460332058069,9.2e-05,2.576892921916704e-05,0.0
2026-03-03,3.921786742365068e-05,0.0,0.0001725,0.0009625072732601026,0.0007311224160412893,4.7288934509631054e-05,0.0009453732052143487,0.0002961735192263785,0.0004853922427324067,0.0006020139867637248,0.0005925264120913835
2026-03-04,2.4828680213727917e-05,0.0004535392265662179,0.0013056134490689447,0.0009121403681523248,0.0011421842905773626,0.0,0.0006529270586916129,0.0004259886779346627,0.0012227489885402992,0.0001682027451457097,0.00023
2026-03-05,0.0,0.0,0.0009420194872860176,0.0,0.0005653109176717282,0.0006211568747519386,0.0008350649104871933,0.000876174097930671,0.00030335086097096464,0.0004361910040991097,0.0005850895973945452
2026-03-06,7.534079400725847e-05,0.00016592207770907479,0.00034881281498895566,0.00032431896280280643,0.0,0.0,0.00028439986621224366,0.0003707997975402396,0.0,0.0003980018680626212,0.0002617555052977953
2026-03-09,0.0006182142624808298,8.56790165609548e-05,0.00029057117774432,0.00022871794880933866,0.0001725,0.00043502736268854076,0.0001725,0.0003054952928479922,9.2e-05,0.0002542241994509428,0.0005666663518825758
2026-03-10,5.789895834454533e-05,0.0005948830454898162,0.00021127829936326692,0.0003017132031685752,0.0001725,0.0004755179828684142,0.0001725,0.00023,9.2e-05,0.000345,0.0003003021011999221
2026-03-11,0.0,0.00010470502611972183,0.00028985394640498776,0.0001725,0.0,0.00042621759495514456,0.0001725,0.0003201386525108109,0.0,0.0006748662663842607,0.0
2026-03-12,5.207783296102907e-05,0.0,4.903239162457234e-05,0.0,0.0,0.0,0.0,0.0,2.6041584737866136e-05,0.0001725,0.0
2026-03-13,9.384723226884243e-06,0.0,5.984664740320719e-05,0.0,0.0,0.0,6.809999428433119e-05,0.0,0.0,0.0007173991782205958,0.00028830943047711657
2026-03-16,0.0,1.1439169294684178e-05,0.0,0.0006601265968555587,0.0,0.00018138529483115848,0.0003314781700830698,0.0002906702048813794,0.00018508830181531599,0.0,0.00029529844315120024
2026-03-17,0.0,0.0,6.947763821330653e-05,0.000345,7.014961478803033e-05,0.0,0.0,0.0,0.00044898009904901885,0.0,0.000115
2026-03-18,0.0,3.3829468153017774e-05,0.00011465397933696596,0.0004730970818647758,0.0,0.0,0.0005997744338732968,0.0,9.2e-05,0.000539819105404818,0.00023
2026-03-19,1.853737169530181e-05,0.0,0.0003250383025170635,0.00017942524777133417,0.0004456940331450949,0.0,0.0005068470435392956,0.0,0.0,4.365891704309106e-05,0.0
2026-03-20,0.00037781967201989486,0.0,4.9505768394633926e-05,0.0,0.0,0.0001725,0.0,0.000115,9.2e-05,0.0001725,0.0
2026-03-23,0.0,4.856174943620451e-05,0.0005721112701585058,0.0007079303022020361,0.0004146698209670044,0.0004319226061498742,0.00043708545779126023,0.000550745036005645,0.00022521298598160848,0.0004328515643354945,0.00028041996765654036
2026-03-24,0.0,3.1246327912162354e-05,0.0,0.0,0.0,0.0,0.0004212187509661698,0.0004468969189440234,0.0,0.0005073828146641284,0.0
2026-03-25,5.573499846573035e-05,3.9435552591657766e-05,0.00043118227986900585,0.00042526984740010206,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,0.0004255403251026096,9.020648472654593e-05,0.0,0.0,0.0004011208173456043,0.0,0.0001725,0.000115,0.0002084665882024844,0.0,0.0
2026-03-27,4.193476849773448e-05,0.0005535576010741945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30,0.00038406302109977874,0.0,0.0006096086409002324,0.00042909126184353106,0.0,0.0,0.0,0.0,9.2e-05,0.0,0.00028021969863320105
2026-03-31,0.0006402986495610788,0.0013538796635410993,0.0008592026719646993,0.00045592349296567393,0.0,0.00042577584032806157,0.000895491729337198,0.000286939108175272,0.00022257668883330544,0.0,0.0
2026-04-01,0.000854987144114054,0.0,0.0,0.0,0.0,0.0,0.0004648579979132503,0.00030755564252250676,0.0,0.0009131881360546713,0.000115
2026-04-02,0.0,0.0004037749469068009,0.0,0.0006223385133128102,0.0001725,0.0,0.0,0.0,0.0,0.0,0.000278236173276702
2026-04-03,0.0,0.0004335622993054479,0.0,0.0,0.0,0.0,0.0,0.0,0.00022707122066300284,0.0,0.0
2026-04-06,0.0,0.0,0.0004415327911023015,0.0,0.0,0.0,0.0,0.0,0.0,0.0009070329620356046,0.0
2026-04-07,0.0,0.0,0.0,0.0,0.0,0.0004110870716433503,0.0,0.0,0.0,0.0,0.0
2026-04-08,0.001099809234681623,0.0,0.0001725,0.0001725,0.0001725,0.0001725,0.00044045646230685544,0.0,0.0,0.0001725,0.0
2026-04-09,0.0,0.0001725,0.0,0.0005042448574891507,0.0,0.0,0.0001725,0.0,0.0,0.0001725,0.0
2026-04-10,0.0,5.1832528695913446e-05,7.92612561197086e-05,0.0,5.917245066862838e-05,0.0,0.0,0.000115,0.0,0.0,0.0
2026-04-13,0.0,0.0,0.0,5.202853317460126e-05,0.0,0.0,0.0,0.0,4.916867275195493e-05,0.0,0.0
2026-04-14,0.0002886479598672961,4.7618647976981754e-05,0.0,0.0,0.0,0.0,4.8346795540942774e-05,0.00014888607047229267,9.2e-05,0.0,0.0
2026-04-15,0.0,0.0004019815430778008,0.0,0.0,0.0,0.0001725,0.0,0.0,0.0,0.0,0.000115
2026-04-16,0.0014969142594201668,0.0001725,0.0002264866058280779,0.0001725,5.447928988869311e-05,0.0,0.0,0.000115,0.0,0.0,0.0
